fecha_limpia,volumen_posts,sentimiento_medio,sentimiento_std
2023-12-15,300,0.3602246666666667,0.4629212897746703
2026-03-01,293,0.2612757679180887,0.4164199313668385
2026-03-02,296,0.2548574324324324,0.41243638672783717
2026-03-03,295,0.27129254237288136,0.4213691143029023
2026-03-04,293,0.2808235494880546,0.4300400424471028
2026-03-05,293,0.2471037542662116,0.4101841560438665
2026-03-06,299,0.27381638795986624,0.42207184623977434
2026-03-07,297,0.2756626262626262,0.4224217676456995
2026-03-08,296,0.2930185810810811,0.4349599151911181
2026-03-09,297,0.2663333333333333,0.4155785512960184
2026-03-10,294,0.24723537414965988,0.4049042100182139
2026-03-11,288,0.2837138888888889,0.42867725132021883
2026-03-12,296,0.30370337837837835,0.44049126564234153
2026-03-13,298,0.30721610738255034,0.4404288178333276
2026-03-14,297,0.29327811447811447,0.4337422060509518
2026-03-15,295,0.3047935593220339,0.4407360786375431
2026-03-16,296,0.24478817567567568,0.4033579187340618
2026-03-17,295,0.2953291525423729,0.4347292595941048
2026-03-18,9,0.33421111111111107,0.48340837923138147
2026-03-19,295,0.2845732203389831,0.42480025133244825
2026-03-20,297,0.24727373737373734,0.40883850333346083
2026-03-21,295,0.3030989830508474,0.43676825440980344
2026-03-22,295,0.262004406779661,0.41380246801044396
2026-03-23,294,0.2341340136054422,0.39949559049565775
2026-03-24,293,0.27319522184300343,0.4205524354179811
2026-03-25,6,0.17845,0.3644150092957204
2026-03-26,291,0.20184742268041236,0.3813596305487773
2026-03-27,298,0.29245771812080534,0.43090370102033787
2026-03-28,293,0.19933412969283276,0.3764329546023129
2026-03-29,291,0.30942542955326463,0.44028932396707504
2026-03-30,296,0.2900716216216216,0.43002133775052515
2026-03-31,288,0.2623420138888889,0.41617291250961
2026-04-01,286,0.3221856643356643,0.4426874402144159
2026-04-02,292,0.2911917808219178,0.42911925192430556
2026-04-03,291,0.27005498281786944,0.4237652003591501
2026-04-04,295,0.27292169491525425,0.42177810573820745
2026-04-05,296,0.2867533783783784,0.4271738245671517
2026-04-06,292,0.28640102739726025,0.4242801693399784
2026-04-07,292,0.24292568493150682,0.4040080958383951
2026-04-08,294,0.2254255102040816,0.3965941126216083
2026-04-09,296,0.2631641891891892,0.414402328294967
2026-04-10,298,0.32594328859060406,0.45184740649860883
2026-04-11,293,0.2864361774744027,0.43063627580926406
2026-04-12,295,0.3044064406779661,0.4378006273546419
2026-04-13,289,0.30071522491349484,0.4377799270855893
2026-04-14,295,0.28019220338983053,0.4295510547216424
2026-04-15,295,0.2569857627118644,0.4120650521599425
2026-04-16,294,0.2605602040816326,0.41329647782376294
2026-04-17,288,0.2187309027777778,0.3887072712211947
2026-04-18,291,0.2816890034364261,0.4292387224426239
2026-04-19,294,0.22631836734693878,0.3943121317844668
2026-04-20,292,0.32073493150684934,0.4435326202615516
2026-04-21,293,0.3491262798634812,0.4523009634447299
2026-04-22,288,0.32844062500000004,0.4450185334381489
2026-04-23,291,0.3005979381443299,0.43744092187821787
2026-04-24,294,0.28867108843537415,0.4280361043599843
2026-04-25,290,0.28525172413793104,0.4284374552882868
2026-04-26,294,0.3224778911564626,0.44772076784536424
2026-04-27,290,0.2759386206896552,0.4222738350768119
2026-04-28,290,0.27126206896551724,0.4223975527101181
2026-04-29,290,0.28783344827586205,0.42774547441704397
2026-04-30,293,0.38523139931740613,0.4663606342761869
