Date,Close,High,Low,Open,Volume,VIX_Close,fecha,volumen_noticias,sentimiento_promedio,puntuacion_positiva,puntuacion_negativa,polaridad_promedio,volatilidad_sentimiento,uso_primera_persona,Daily_Return,SMA_10,SMA_50,Volatilidad_10d,target_direction
2020-03-13,67.1029281616211,67.57366791219874,61.06301183278901,63.94537376560975,370732000,57.83000183105469,2020-03-13,247,-1.085,2.101,3.186,5.288,2.777,20.511,0.1198081816277825,68.21966018676758,73.73338806152344,0.07426783714630276,0
2020-03-16,58.47035217285156,62.54282496971143,57.9368487366503,58.40758489593045,322423600,82.69000244140625,2020-03-16,510,-2.795,1.874,4.669,6.543,2.148,22.948,-0.12864678524873752,66.85331878662109,73.45611770629883,0.07777206815986837,1
2020-03-17,61.041290283203125,62.1879532458274,57.55059398806874,59.74978006097213,324056000,75.91000366210938,2020-03-17,248,-0.831,2.351,3.182,5.533,2.8,22.128,0.04396994399403109,65.97316207885743,73.24433059692383,0.07994531519225954,0
2020-03-18,59.5469970703125,60.3508711155952,57.24159305699179,57.88131450093201,300233600,76.44999694824219,2020-03-18,282,-0.032,2.875,2.907,5.781,3.359,22.595,-0.024480039756004546,64.61961212158204,72.99124267578125,0.07744684165807232,0
2020-03-19,59.09074020385742,61.036451553451855,58.56689512385312,59.72080339842934,271857200,72.0,2020-03-19,174,0.355,2.766,2.41,5.176,2.471,22.503,-0.00766213056749665,63.45749397277832,72.73582023620605,0.0773142869378077,0
2020-03-20,55.33933639526367,60.7926402539027,55.03999474688709,59.67011183513416,401693200,66.04000091552734,2020-03-20,257,-0.908,2.368,3.276,5.644,3.31,21.323,-0.0634854766694708,62.01414337158203,72.38225036621094,0.07879989947118886,0
2020-03-23,54.16370391845703,55.16070158535809,51.32479999006741,55.05931255400759,336752800,61.59000015258789,2020-03-23,182,-0.71,2.436,3.146,5.582,3.113,22.895,-0.021244065313859806,61.00507583618164,71.9741488647461,0.07606433781847975,1
2020-03-24,59.597686767578125,59.79322297879332,56.56083083014149,57.058121363238,287531200,61.66999816894531,2020-03-24,220,0.286,2.669,2.383,5.052,2.489,23.223,0.10032517084322579,60.076637268066406,71.67135513305664,0.0800559766759027,0
2020-03-25,59.26938247680664,62.3424476958278,58.97486994131572,60.53192162528101,303602000,63.95000076293945,2020-03-25,232,0.492,2.951,2.459,5.41,2.262,23.042,-0.005508675060691859,59.35460090637207,71.33006080627442,0.0796456647551499,1
2020-03-26,62.38832092285156,62.446255405203736,59.47216621048136,59.51079165439952,252087200,61.0,2020-03-26,211,-0.305,2.609,2.913,5.522,3.018,21.96,0.052623096710437745,59.601073837280275,71.07176033020019,0.07484063462507896,0
2020-03-27,59.80530548095703,61.767913466106,59.63873647362711,61.01473571142301,204216800,65.54000091552734,2020-03-27,205,-0.048,2.682,2.731,5.413,2.317,22.497,-0.041402227270848524,58.871311569213866,70.76825416564941,0.06436840961406846,1
2020-03-30,61.51203155517578,61.68342967850782,60.20603760216864,60.529521124828726,167976400,57.08000183105469,2020-03-30,186,-0.492,2.512,3.004,5.516,2.632,22.618,0.028538037896356894,59.17547950744629,70.48009757995605,0.049537784283117246,0
2020-03-31,61.38649368286133,63.366001623216455,60.83368129501873,61.70273535835759,197002000,53.540000915527344,2020-03-31,246,-0.371,2.382,2.753,5.135,2.359,22.167,-0.0020408669514003774,59.20999984741211,70.17261993408204,0.047740699066342554,0
2020-04-01,58.15652084350586,60.04188167908633,57.72682288768837,59.50596558883749,176218400,57.060001373291016,2020-04-01,297,-0.595,2.54,3.135,5.675,2.584,22.314,-0.05261699513320228,59.07095222473144,69.81094688415527,0.05021157122715517,1
