ID_Tweet,Fecha_UTC,Contenido_Texto,Retweets,Favoritos
at://did:plc:p65w2zebgm4262w2brtjqrzb/app.bsky.feed.post/3mnb3uvraos2y,2026-06-01T22:10:18.744Z,An Apple Tall,34,195
at://did:plc:yk7qcipba5ggw6ou4zss24fx/app.bsky.feed.post/3mnb5eq7t7k2t,2026-06-01T22:37:03.547Z,"WIfe's entry for this weeks #OliveArtClub, apple painted in gouache. She's absurdly talented, if you ask me",3,70
at://did:plc:l3nzokqarzrgqdct6ngli2ky/app.bsky.feed.post/3mnaq6rqi5k2d,2026-06-01T18:41:05.181Z,yeah i made a bowler bag with the side profile of an apple!!!!!! 🍎 what of it!,41,296
at://did:plc:qywnmz5w3zht6n6i324gjzdp/app.bsky.feed.post/3mnaqnbda2s2o,2026-06-01T18:49:11.296Z,Apple juice,2,43
at://did:plc:xjpi5wbgxxouy66ifiwmd5en/app.bsky.feed.post/3mnaqvw65g22q,2026-06-01T18:54:01.580Z,"mina may be tiny, but she's got a big game! 🐭🍎 i'm about 10 hours in, and i feel like i've barely scratched the surface. this game is only 842 MB, but it's BIG! all the areas feel so well designed, and it really encourages and rewards you for exploring every nook & cranny 💎✨",712,3439
at://did:plc:bli3fwdyytrmejda5qpawt3b/app.bsky.feed.post/3mnb3upnjyk2a,2026-06-01T22:10:12.354Z,A24 PRESENTS,1,157
at://did:plc:qgqiwbfipdcy52f3vmlimw4p/app.bsky.feed.post/3mnasmj6xjc2t,2026-06-01T19:24:33.453Z,,2,67
at://did:plc:ritv6l6udmzeuwbit4omuq4x/app.bsky.feed.post/3mnayqsfhuw2s,2026-06-01T21:14:19Z,Apple Invites WWDC 2026 Attendees to 'The Mandalorian and Grogu' Screening at Apple Park,2,22
at://did:plc:h5jqshlhw3zzqjuqdjfchb2y/app.bsky.feed.post/3mn7ra2iwoc2v,2026-06-01T09:27:01.745Z,Apple is worth $5.5 trillion. Also Apple:,8,70
at://did:plc:s2xkftzzepj5ztmngwgg2x4f/app.bsky.feed.post/3mnaqatfogk2j,2026-06-01T18:42:14.014Z,I did a loosey goosey one,4,50
at://did:plc:wcgzjl477psjrezngnmtywow/app.bsky.feed.post/3mnaulhauy222,2026-06-01T19:59:45.367Z,Apple..... Tree.....,1,15
at://did:plc:dqrcz4py2hrv4lzcs6ygoagj/app.bsky.feed.post/3mn7tjomvrc2b,2026-06-01T10:08:12.513Z,me: are they synchronized yet? apple: mh? me: the passwords apple: what passwords me: I can see them on the other machine apple: yea? me: yea apple: why are you looking for them here then,3,87
at://did:plc:4ckvmyifwnwsvw4weye45s2s/app.bsky.feed.post/3mnaiybbn4s23,2026-06-01T16:32:10.407Z,I've been sharing my apple cores with the magpies the last few weeks and yesterday they left these for me. 💗,23,397
at://did:plc:of56nmyuqzvjta7qlf7gwht6/app.bsky.feed.post/3mnaxl25tdk22,2026-06-01T20:53:12.862Z,"Plums are really underrated, I’ll fuck with a plum. It’s sort of like an apple that doesn’t want you to have a good time.",1,101
at://did:plc:nwz5degeylfhgqjsrs4desvt/app.bsky.feed.post/3mnayhmls5k2c,2026-06-01T21:09:11.714Z,"Installation piece, temporary exhibition.",1,54
at://did:plc:5hblrj2hwiog4fox7islneg4/app.bsky.feed.post/3mnadwkimks2r,2026-06-01T15:01:44.251Z,"whenever i think ""i own enough t shirts already"" i see something like this",503,3580
at://did:plc:jwefiy6r4tom5n5rdabwkpuf/app.bsky.feed.post/3mnb2cguejs2f,2026-06-01T21:42:05.420Z,still trips me up that there's a fully 3D Sonic game that came out only a few years ago that's almost completely original but it's locked behind Apple subscription hell,17,145
at://did:plc:34z7teenjp727apl5mdzzbjf/app.bsky.feed.post/3mnbboqz46k2p,2026-06-01T23:54:14.905Z,sharing an apple fritter with each of you :3,0,17
at://did:plc:6xksbjutafzfg6qpxr2ruvxe/app.bsky.feed.post/3mnanasuh5225,2026-06-01T17:48:32.245Z,"The apple. (Copic markers, Staedtler liners, white gel pen, and pastel pencils.) #OliveArtClub",2,41
at://did:plc:pxegdl4bueimessmke73ymrh/app.bsky.feed.post/3mnazyqaxyc22,2026-06-01T21:36:39.726Z,Made some good ass apple fritters,0,12
at://did:plc:5udoh2yruu6u2njprrhkkr3y/app.bsky.feed.post/3mnbaxhot722f,2026-06-01T23:41:13.381Z,apple,0,8
at://did:plc:aunpu65mdrhwfie7ynymlzeh/app.bsky.feed.post/3mnbb7xuvg72d,2026-06-01T23:45:58.548Z,"Watch the full episode of Bulwark Takes at The Bulwark and YouTube, or listen on Apple Podcasts, Spotify or wherever you get your podcasts:",1,44
at://did:plc:izttpdp3l6vss5crelt5kcux/app.bsky.feed.post/3mn7mc45nnc2k,2026-06-01T07:58:42.066Z,"It's hard for a country to claim to be independent while running on MMAGA (Meta, Microsoft, Apple, Google, Amazon). cybernews.com/tech/microso...",270,599
at://did:plc:wg2aje2ehktwtinvmpveisxb/app.bsky.feed.post/3mnanj3gbf22e,2026-06-01T17:53:09.654Z,Looks like Tim Apple is also in the same boat. £6 on iBooks.,10,39
at://did:plc:kdkvmb7u5anlir5j25zq6dav/app.bsky.feed.post/3mnatdzd55s23,2026-06-01T19:37:42.109Z,"It’s my birthday!! There’s not much particularly exciting about 31, but that isn’t gonna stop me from getting some apple pie tonight",4,48
at://did:plc:grin4hc3ff6zxv7lzn7njdcr/app.bsky.feed.post/3mnauyxoshc2m,2026-06-01T20:07:18.806Z,"Sitting down in front of coworkers, blushing as I open the lunch she packed for me: - Capri sun - Bluey snack container - Bluey branded apple slices - Second capri sun - Bluey fruit snacks",3,84
at://did:plc:te7gxx3zow3kcjkmhb3w3p2h/app.bsky.feed.post/3mnao2zceqs2y,2026-06-01T18:03:11.410Z,"#oliveartclub Tried a little bit more abstract approach, fun!",2,27
at://did:plc:tgm3isug3dbipufep4durid5/app.bsky.feed.post/3mnb6xaatmk2h,2026-06-01T23:05:18.094Z,"We are open-sourcing (AGPLv3) and going live with our mobile app beta on June 15th. This beta is locked to Android users and Plutonium iOS users. We plan a full rollout in 1 month to Google Play, Apple App Store, F-Droid, and Obtanium after we knock out a few more bugs and features.",37,211
at://did:plc:neogli5rfbw3xogzgffl3z5l/app.bsky.feed.post/3mnb3hmsrd22c,2026-06-01T22:02:53.172Z,"Thong Song just came on my curated essentials playlist, love when Apple Music gets it right",0,26
at://did:plc:aunpu65mdrhwfie7ynymlzeh/app.bsky.feed.post/3mnb7kbq2ad2o,2026-06-01T23:15:56.923Z,"Watch the full episode of the Bulwark Podcast at The Bulwark and YouTube, or listen on Apple Podcasts, Spotify or wherever you get your podcasts:",3,29
at://did:plc:4mvxzjukalrcg754hpkb62i5/app.bsky.feed.post/3mnajqq3a222x,2026-06-01T16:45:51.224Z,APPLE CAR !,0,9
at://did:plc:lvaz7w3vch76ww3raxininch/app.bsky.feed.post/3mnaqhioot22g,2026-06-01T18:45:57.679Z,Tried to make a real effort today. Pleased with the stem. Water colour on hahnemuller mixed media paper. Thanks for doing this @moviessilently.bsky.social It’s so much fun #oliveartclub,3,69
at://did:plc:awhaebcd4mup4y7q27q7ioeu/app.bsky.feed.post/3mna56uuf3c23,2026-06-01T13:01:07.368Z,King Apple! 👑🦭,10,43
