ID_Tweet,Fecha_UTC,Contenido_Texto,Retweets,Favoritos
at://did:plc:cim6y2gr7lb2ymrmeucrk6ul/app.bsky.feed.post/3mofyiqenc22l,2026-06-16T14:18:19.540Z,Beato 1 apple tall edition,149,316
at://did:plc:rnziamo5lmlp7ztcoa6no3g2/app.bsky.feed.post/3moetf7jpxk26,2026-06-16T03:14:12.733Z,apple,31,142
at://did:plc:n27mx775abqfpnxugztgyhep/app.bsky.feed.post/3moejfvrtck2y,2026-06-16T00:15:38.697Z,#art,73,493
at://did:plc:klriafv6rdha63hefisn5een/app.bsky.feed.post/3moejfovki22f,2026-06-16T00:15:31.481Z,problematic apple visualization gap,18,95
at://did:plc:knj5sw5al3sukl6vhkpi7637/app.bsky.feed.post/3mof64ohrnc2i,2026-06-16T06:26:17.617Z,Gitaroo Man Soundtrack now on streaming: Spotify buff.ly/Fg9gTfl Apple Music buff.ly/hIjVqnX YouTube Music buff.ly/YlEnDnP Amazon Music buff.ly/YYD43ro,313,719
at://did:plc:v2fprt3cwjmrbyvvjm3opyvz/app.bsky.feed.post/3mofa2ll4z22k,2026-06-16T07:00:54.956Z,"This is just a visual representation of ""if you listed the chemical ingredients of an apple it'd sound scary"". idc, I'd still eat them.",9,981
at://did:plc:vi2grzfali5xn5rh2ny2n4d4/app.bsky.feed.post/3mogngl56hk2c,2026-06-16T20:32:55.534Z,McDonald’s is bringing back fried apple pies for the first time in over 30 years to celebrate America’s 250th birthday 🥧 🇺🇸,30,240
at://did:plc:yf6hctt2ug3qyfty4in64yob/app.bsky.feed.post/3mog6jtzecd2z,2026-06-16T16:06:19Z,Google and Apple pulled into Raskin’s ICE investigation,17,64
at://did:plc:klriafv6rdha63hefisn5een/app.bsky.feed.post/3moejfovpec2f,2026-06-16T00:15:31.482Z,5s DNI,6,61
at://did:plc:flkpmrsyhuc3npq7szdeh6bt/app.bsky.feed.post/3mogs32twg22b,2026-06-16T21:55:58.064Z,I can already feel mytongue being scalded by the burning apple lava 💗,1,69
at://did:plc:35utcaodl4alymkuqpesbe5t/app.bsky.feed.post/3mog7l4hjjs2p,2026-06-16T16:24:55.523Z,look at this massive apple hard drive we just retired lol,0,36
at://did:plc:3vyl2i7k2fuk7lbnmlxh3vof/app.bsky.feed.post/3mog4ekrkbc2i,2026-06-16T15:27:34.434Z,"the apple ecosystem is not for everyone but i think its apple tv is maybe the best and easiest to use with good support for eARC, dolby atmos, etc",0,44
at://did:plc:a67zdrt4nl2tv2qojpngogbq/app.bsky.feed.post/3mogibwqoq425,2026-06-16T19:00:51Z,"McDonald's is frying up some apple pies to honor America's 250th birthday, for the first time in more than three decades.",16,88
at://did:plc:klriafv6rdha63hefisn5een/app.bsky.feed.post/3moejd74ytk2f,2026-06-16T00:14:07.838Z,"lol. you're jealous of how much more detailed my mind apple is, arent you?",10,82
at://did:plc:3qptukurts456t6ug7me4o62/app.bsky.feed.post/3mof4yrmmqk2d,2026-06-16T06:06:12.963Z,"From my conversation with @garygulman.bsky.social. Full conversation on YouTube, Spotify, Apple Podcasts, or Substack: open.substack.com/pub/georgeha...",10,75
at://did:plc:bh3etfv75dl47fmhr4hvdx4a/app.bsky.feed.post/3moglaj2tnk2n,2026-06-16T19:53:44.551Z,"I dunno what's funnier, if ZUN is the deltarune ch 5 guest bullet designer and apple girlington is real and he designs the fight, or if ZUN is the deltarune ch 5 guest bullet designer and apple girlington is a one-line npc who just says ""I'm Appleton"" and has no fight",8,69
at://did:plc:wyvx765w5prdqxip4gcyjs52/app.bsky.feed.post/3moex27glt223,2026-06-16T04:19:38.538Z,they should invent an apple pencil that doesn’t die but good daily draw page all the same,29,104
at://did:plc:ewjkfy25l47tyyftvcoxql4g/app.bsky.feed.post/3mof43jhujs2f,2026-06-16T05:49:51.336Z,Anything sounds scary when you break it down to its fundamental chemicals here’s the makeup of an apple lol,2,80
at://did:plc:fipmhlv5bhx7imxfqimmw72m/app.bsky.feed.post/3mofnk5tous2w,2026-06-16T11:02:16.068Z,"Happy Birthday, Venti! #GenshinImpact #Venti Oh? Is Dvalin yawning? Then here, try some apple cake! One bite and you'll be feeling refreshed in no time! Well? Good, isn't it? I went out of my way to learn this recipe from the Traveler.",165,453
at://did:plc:ccrabc6xdnjx4l7btvynnng4/app.bsky.feed.post/3moejdolst22x,2026-06-16T00:14:24.050Z,"Apple, thanks",0,15
at://did:plc:7ylcvzjmkox5fwd72gmxw4jf/app.bsky.feed.post/3moesk4bvek2o,2026-06-16T02:59:03.410Z,Apple fans rejoice as they can now finally plug in the power cable to use their mac,6,60
at://did:plc:d4jpvbtqahirqq5enjhulsuf/app.bsky.feed.post/3moga2itb4s23,2026-06-16T16:33:31.791Z,Would you [apple]jack me off? Mlp temporary tats i got lol #tgirl #transfem #mtf #girlcock #girldick #boobs #transnsfw #nsfw ##goonette,7,59
at://did:plc:muhesxre7yfcuqi5ss2fskjc/app.bsky.feed.post/3mofci2a5k22m,2026-06-16T07:44:14.007Z,"Apple should have taken some of the money they hoard like a dragon and bought WB Discovery. Better than what we got. Either make Apple TV legitimate, or let it die. Some great shows are starving there because your platform sucks Deep breath Anyway how is everyone",4,58
at://did:plc:74krfre53aurjg45vdvcpfqp/app.bsky.feed.post/3mogmkoqs4l2s,2026-06-16T20:17:20.204Z,Daily dose of friends : day 1058 OC : Apple Pie !,9,23
at://did:plc:4v6at52hyxca5rm7e2freeee/app.bsky.feed.post/3mof3a4zqx22h,2026-06-16T05:34:32.322Z,An apple a day keeps the doctor away. A book a week bsky posting physique.,2,47
at://did:plc:cxi7yxacplmautg7qmjal6ea/app.bsky.feed.post/3mof47hm5o22r,2026-06-16T05:52:03.600Z,"thinking about the hot fruit debate and suddenly, desperately, wanting a legit original mcdonald's *deep fried* 10,000 degree steel beam melting cherry pie",39,761
at://did:plc:3vyl2i7k2fuk7lbnmlxh3vof/app.bsky.feed.post/3mog67k5rxc2i,2026-06-16T16:00:33.498Z,"apple tv is very simple, responsive, and less loaded with ads* than the competitors *apple advertising apple services doesn't count for me but may be onerous for others",0,13
at://did:plc:yo6je3vbnyvkttzxarlbfs57/app.bsky.feed.post/3mog44ildnc2y,2026-06-16T15:23:03.661Z,They're half an apple tall 🍏 #art #sfawtde #dawtde #mcyt,11,45
at://did:plc:eiavgi3e23lw3554ibfzsa7y/app.bsky.feed.post/3mofdia3po22b,2026-06-16T08:02:13.900Z,"Tonight: Roast pork sausages with apple and onion, fried cabbage and roasted sweet potatoes",1,52
at://did:plc:2hqjggxsitzozlebvoarff4x/app.bsky.feed.post/3mofzblszdc2u,2026-06-16T14:32:13.641Z,you won't BELIEVE how sinister the chemicals in an apple look when poured in powder form from a steel scoop into a beaker by a smug influencer pretending to do science,7,98
at://did:plc:cnpv5imp6llho2lk4b3j5acm/app.bsky.feed.post/3mofpl3ukc22b,2026-06-16T11:38:35.034Z,Apple blossom..now the wind is dancing with you but I remember..✨,4,44
at://did:plc:vtpyqvwce4x6gpa5dcizqecy/app.bsky.feed.post/3mogt5abfwb2p,2026-06-16T22:15:04.583Z,"In the coming weeks, Apple will move anonymously generated emails addresses to a different domain.",6,20
at://did:plc:4zxvvwpwdaikqiw72vgicucq/app.bsky.feed.post/3moguqby5hj22,2026-06-16T22:43:37.472Z,McDonald's is bringing back their iconic friend apple pie 💫 [everyone liked that],2,17
at://did:plc:uyeoca56gfj7sp3o5id5hok5/app.bsky.feed.post/3mogc6gmlzc2g,2026-06-16T17:11:31.195Z,Communications is a climate solution says climate scientist @katharinehayhoe.com on The Fenton Forecast on Apple Podcasts go.fentonforecast.com/HayhoeAppleP...,6,36
