ID_Tweet,Fecha_UTC,Contenido_Texto,Retweets,Favoritos
at://did:plc:53pxyzwrw4zx5ft67czyyjyy/app.bsky.feed.post/3mlmew55jch2y,2026-05-11T23:00:57.322Z,"""Julio"" is pruning apple trees in WA state. ""I spend all day with my arms up holding the heavy pruning shears. It's exhausting work. My arms get so tired they feel numb. I try to shake the numbness out when I switch trees."" #WeFeedYou",142,551
at://did:plc:z5iaa2ueaqyzjmyromlucpkx/app.bsky.feed.post/3mlmdpvzjfs2y,2026-05-11T22:39:35.064Z,"""look at me and my big fukn apple""",13,52
at://did:plc:qpqyay6mqatzyyet3jdgxiwi/app.bsky.feed.post/3mlmd37fh522e,2026-05-11T22:28:00.248Z,YOU GUYS,1,108
at://did:plc:vnhhgmdzxg7dsufzg3oxulbf/app.bsky.feed.post/3mlmgqpkfl22j,2026-05-11T23:33:43.033Z,250906 | Seungmin at Apple Music fansign event cr.: @Knockon_No922 (on X) #seungmin #straykids,10,47
at://did:plc:4mrnt63nfcwmj6ppqvtcjhmu/app.bsky.feed.post/3mlm4uh7h422q,2026-05-11T20:36:51.098Z,outfit thread !! #1 the apple picker 🍎🍏,12,66
at://did:plc:bgakgsp7rz6ioyaqbvd7p7ew/app.bsky.feed.post/3mlmdh22s3l2m,2026-05-11T22:34:37Z,Apple just made it easier for Apple Card users to access Savings on the web,0,13
at://did:plc:qawz6zravf2xaytn4kxbincb/app.bsky.feed.post/3mlmai4x36k2d,2026-05-11T21:41:32.430Z,💚Apple Blossom!🌼 #shopkins #appleblossom #shopkinsappleblossom #shopkinsfanart,7,20
at://did:plc:474ldquxwzrlcvjhhbbk2wte/app.bsky.feed.post/3mlm6ug4vy22n,2026-05-11T21:12:37.463Z,"""Pale September"" by Fiona Apple",0,15
at://did:plc:y57u2hbcoegzgriagjie72bx/app.bsky.feed.post/3mlmdvftzb22o,2026-05-11T22:42:39.434Z,eu quando coloco um par de músicas pro apple music mixar,0,15
at://did:plc:nchss4khrcktzrx7fs3rmhqa/app.bsky.feed.post/3mllvsxj4422c,2026-05-11T18:30:44.894Z,I 🍎 EAT APPLE!! with love from massachusetts 🍏,15,71
at://did:plc:7exlcsle4mjfhu3wnhcgizz6/app.bsky.feed.post/3mllu43wgyt2i,2026-05-11T18:00:03.430Z,Apple brings encrypted RCS chats to iPhone,7,49
at://did:plc:rykdmiisbjdf4ooel7bxlrfu/app.bsky.feed.post/3mlmgarcx2k2i,2026-05-11T23:24:48.040Z,Awful digital collage in Apple Preview. #oliveart,5,80
