ID_Tweet,Fecha_UTC,Contenido_Texto,Retweets,Favoritos
at://did:plc:y2wymmih5277curjrrpjnk6t/app.bsky.feed.post/3ml4zg22igs2g,2026-05-05T20:25:10.254Z,Apple pie!,1,56
at://did:plc:i7g62qhqwyobrqzg63yyz7vf/app.bsky.feed.post/3ml5empa7cc2d,2026-05-05T23:45:44.945Z,"today I went to the doctor, the Taillon, the jewelry repair shop, the dry cleaner and the florist like this but with a happy apple walker",0,42
at://did:plc:ld3sszymayp3s5f4m62lpwho/app.bsky.feed.post/3ml4ylrkmhs2v,2026-05-05T20:10:28.928Z,apple #phaidei,13,51
at://did:plc:7exlcsle4mjfhu3wnhcgizz6/app.bsky.feed.post/3ml54i4tf5i2e,2026-05-05T21:20:00.805Z,Apple agrees to pay iPhone owners $250 million for not delivering AI Siri,8,59
at://did:plc:pnscq72qilehejgz4xntfitv/app.bsky.feed.post/3ml54qrpbgs2f,2026-05-05T21:24:51.823Z,afterwards she offered me a fermented apple beverage flavoured with cumin. yeah she said I could have cumin cider.,10,98
at://did:plc:asu7ef2ytfcrr4ukoi5ajs5o/app.bsky.feed.post/3ml4uj6ro5s2z,2026-05-05T18:57:27.157Z,"opossums are pretty cute, too",271,729
at://did:plc:yetdkong3mudicsvvr23zwhj/app.bsky.feed.post/3ml4x352qvs2c,2026-05-05T19:43:16.828Z,gus eating an apple,3,34
at://did:plc:wweiz52g7q2ncyj3jzaufav4/app.bsky.feed.post/3ml4smdnmqc2q,2026-05-05T18:23:25.454Z,I love how you can clearly see an Apple silhouette on Lucifer’s hair,13,146
at://did:plc:bgakgsp7rz6ioyaqbvd7p7ew/app.bsky.feed.post/3ml5cjq2wge2f,2026-05-05T23:08:17Z,Apple pressed by Maryland lawmakers over closure of first unionized U.S. store,0,18
at://did:plc:5vintl3wcv7vyqsmzwhg72f3/app.bsky.feed.post/3ml55zbzi422l,2026-05-05T21:47:31.113Z,"more typical systematic LE bullshit. Take a bad apple & just move them around to some other position/precinct/department etc, as opposed to showing them the door.",3,105
at://did:plc:hyv5w3p74clcq6bc7srpqpta/app.bsky.feed.post/3ml42nzdi722i,2026-05-05T11:14:51.937Z,The Apple Orchard. Kevin Kia,359,3232
at://did:plc:xgkr6rl3xvo7kncvva45qgwh/app.bsky.feed.post/3ml5b5wa6ak2p,2026-05-05T22:43:47.746Z,Apple TV: an incredible app that requires you to unlock phone rotation to view videos in landscape and has streaming problems no other platform exhibits,3,50
at://did:plc:syuzldzqctz7e4syg7iivjt5/app.bsky.feed.post/3ml4mttysts2d,2026-05-05T16:40:15.027Z,How long does it take to shoot an apple off someone’s head with a crossbow? Time will tell.,66,506
at://did:plc:an2e3qjrwpfizkms3k2li23v/app.bsky.feed.post/3ml52b6ckbs2p,2026-05-05T20:40:20.684Z,"admittedly, it does sound slightly like I can control an army of skeletal Apple IIs, yes.",2,45
at://did:plc:xgkr6rl3xvo7kncvva45qgwh/app.bsky.feed.post/3ml5bm6azwc2f,2026-05-05T22:51:45.926Z,maybe Apple should use the 30% they skim from every transaction made by a small creator on Patreon to fix their shit so it fucking works,0,33
at://did:plc:ncymxbce46e7xcbxo4lsiz5z/app.bsky.feed.post/3ml5bvjfibs23,2026-05-05T22:56:59.596Z,Apple is such a nonbinary fruit,0,14
at://did:plc:qf26ne2zr3vztvecnshbb3uv/app.bsky.feed.post/3ml552spxys2u,2026-05-05T21:30:28.438Z,#Wheein 260503 Apple Music Fansign #휘인 #마마무 #adagio #fansign,4,14
at://did:plc:ozb7eevalz47xjhtgae2lsfj/app.bsky.feed.post/3ml55awrgy22j,2026-05-05T21:33:54.009Z,Literally at the Apple Store for an appointment and I had to scan a QR code for them to check me in that took me to the “Apple Store” APP,3,17
at://did:plc:dbcke6i35yc4b4whvqqsgcom/app.bsky.feed.post/3ml4tmqhsv22q,2026-05-05T18:41:32.637Z,Buying Apple stock.,0,16
at://did:plc:aunpu65mdrhwfie7ynymlzeh/app.bsky.feed.post/3ml57mhee7l2p,2026-05-05T22:16:07.721Z,"Watch the full episode of Bulwark Takes at The Bulwark and YouTube, or listen on Apple Podcasts, Spotify or wherever you get your podcasts: lnk.thebulwark.com/4utgzpJ?utm_...",6,35
at://did:plc:aunpu65mdrhwfie7ynymlzeh/app.bsky.feed.post/3ml5cx2g37e2p,2026-05-05T23:15:44.465Z,"Watch the full episode of the Bulwark Podcast at The Bulwark and YouTube, or listen on Apple Podcasts, Spotify or wherever you get your podcasts: lnk.thebulwark.com/3QPXSOE?utm_...",2,24
at://did:plc:u3abfry7f5gkz6usz3i4loyn/app.bsky.feed.post/3ml57ooktxc2e,2026-05-05T22:17:22.650Z,"Tim Apple is just about as noble as McArthur was, too.",0,17
at://did:plc:xznryaosc27uvwz3fin3cxsv/app.bsky.feed.post/3ml4zokrox22z,2026-05-05T20:29:56.140Z,,0,17
at://did:plc:axjxw6t724waounc7yld5q4u/app.bsky.feed.post/3ml56ufvsx22m,2026-05-05T22:02:41.157Z,But you have to pay for Apple Music. 🙁,0,9
at://did:plc:zorx72vm56gtgv4hzl66q4zm/app.bsky.feed.post/3ml4qfvckel2y,2026-05-05T17:44:00.688Z,"Ob Apple oder Insta – wir nutzen die großen Plattformen, weil es angenehm ist. Doch demokratische Alternativen wie Mastodon sollten uns den Mehraufwand wert sein.",38,153
at://did:plc:yvesh56cq6y5idhxacdgvvxv/app.bsky.feed.post/3ml5co6x5b22q,2026-05-05T23:10:47.500Z,@jims.bsky.social did you see this apple lunch ahh hongo bongo of a rally car?,0,8
at://did:plc:ieri7ligcboxhuks5rnwsmk7/app.bsky.feed.post/3ml4ymxmxrk2t,2026-05-05T20:11:08.851Z,it was allowed to eat a slice of apple after shoving it into the hole thank You Sir 🙏🏻,4,32
at://did:plc:txdrfhrkdpcdq2taygu4gapv/app.bsky.feed.post/3ml52c4zal22e,2026-05-05T20:40:52.848Z,"one must always keep their action scene geography clear, including the literal geography",0,48
at://did:plc:b7ykchbmiy5dtkmbicgdfbuf/app.bsky.feed.post/3ml4zzgpcdk22,2026-05-05T20:36:01.055Z,"the yummiest bits of the apple aren't even considered to be true ""apple core""",1,9
at://did:plc:lxj6fo7atoir35pvn3idij42/app.bsky.feed.post/3ml4d5zn6as2w,2026-05-05T13:46:59.064Z,Don't take a big byte; just have a Nibble. I've seen so many adorable (and appropriate) fruit or food puns for classic Apple magazines and disk mags.,18,133
at://did:plc:ritv6l6udmzeuwbit4omuq4x/app.bsky.feed.post/3ml53kbqkuf2c,2026-05-05T21:03:19Z,Apple to Pay $250 Million to Settle Class Action Over Delayed Siri Features,2,15
at://did:plc:wm64pf4mypshxfl6w4vwxakw/app.bsky.feed.post/3ml5a6kxat225,2026-05-05T22:26:15.732Z,I spent an hour at the apple store so I must now take the sea cure for six to nine months. Please send laudanum.,5,25
at://did:plc:7exlcsle4mjfhu3wnhcgizz6/app.bsky.feed.post/3ml4xh7ymku2n,2026-05-05T19:50:01.542Z,Apple could let you pick a favorite AI model in iOS 27,4,31
at://did:plc:ritv6l6udmzeuwbit4omuq4x/app.bsky.feed.post/3ml4wp6jfdb2j,2026-05-05T19:36:35Z,Apple Cuts More Mac Studio and Mac Mini RAM Options as Memory Shortage Worsens,3,16
at://did:plc:2w45zyhuklwihpdc7oj3mi63/app.bsky.feed.post/3ml54sm7wak2t,2026-05-05T21:25:53.187Z,"With a simple Bluetooth identifier and a subpoena to Apple, cops were able to ID a suspect who connected to a getaway vehicle in an armed crypto robbery.",17,22
at://did:plc:h5ebyg3v4pym6w45gtsu75b2/app.bsky.feed.post/3ml4oppoae22v,2026-05-05T17:13:43.753Z,Conseguiram ser pior que a Apple colocando o disco novo do U2 em todos os IPhones,12,44
at://did:plc:mv6wqw2vk2nojhfvhb5fdgd6/app.bsky.feed.post/3ml4yv6rdwc2e,2026-05-05T20:15:44.709Z,ey look i made a drawing of Hatty's Apple Girlington aint that nice,7,17
at://did:plc:qf26ne2zr3vztvecnshbb3uv/app.bsky.feed.post/3ml552douik2u,2026-05-05T21:30:12.658Z,#Wheein 260503 Apple Music Fansign #휘인 #마마무 #adagio #fansign,4,11
at://did:plc:33j5gqo4wjsqx5f7ygy4puzb/app.bsky.feed.post/3ml57ds5pik2n,2026-05-05T22:11:17.315Z,"Marshal DC Pride Tim Apple, I want you up front next to the Lockheed float",1,7
at://did:plc:5u54z2qgkq43dh2nzwzdbbhb/app.bsky.feed.post/3ml4zjbywxx2n,2026-05-05T20:26:59.176788Z,Apple reaches $250mn settlement over delayed ‘AI Siri’ ft.trib.al/gjVw2Mo,1,11
at://did:plc:bgakgsp7rz6ioyaqbvd7p7ew/app.bsky.feed.post/3ml544q56fp24,2026-05-05T21:13:38Z,Apple Manufacturing Academy highlights AI adoption across U.S. industry,0,8
at://did:plc:heoz5xxbjvdmv6mquaoofq7o/app.bsky.feed.post/3ml4oswwsh22c,2026-05-05T17:15:32.017Z,Do you want a taste of daddy's apple 🍎? Easy. Click on the link below. The buffet is served. onlyfans.com/musclebearmo...,3,61
at://did:plc:ritv6l6udmzeuwbit4omuq4x/app.bsky.feed.post/3ml4rt4pw6d2e,2026-05-05T18:09:19Z,iOS 27 Will Let You Pick Claude or Gemini Instead of ChatGPT for Apple Intelligence,3,27
at://did:plc:vra7hsfobbn77v2u3xsttrnq/app.bsky.feed.post/3ml4uajje3s2w,2026-05-05T18:52:36.422Z,Apple Pie Filling (1/3),5,12
at://did:plc:orwmq33pobteowpzc5gzwwil/app.bsky.feed.post/3ml4psjmd5s2c,2026-05-05T17:33:11.804Z,bad news about Apple 😬,0,12
at://did:plc:ifvq2gkokfeuuednlmsvrxm2/app.bsky.feed.post/3ml4jal4mrs2w,2026-05-05T15:35:46.944Z,Little apple 🍎 #hazbinhotel #charlie,5,23
at://did:plc:46vxwwtigmxatcykkhh5kgoy/app.bsky.feed.post/3ml5arm7rrf25,2026-05-05T22:36:54.332Z,"Join us for an all NEW episode of HIGNFYE with Michael Ian Black and producers: Jodi Lennon & Jim Biederman as they discuss what's in the news! Don’t miss an episode! Follow us on Apple, Amazon Music or wherever you get your podcasts. Even better watch the vodcast on Spotify or YouTube.",5,28
at://did:plc:5756ajr2iwsqva6wqy3bnt7k/app.bsky.feed.post/3ml5f6zbyfc2s,2026-05-05T23:55:59.474Z,Gonna stare at this fella as I slowly eat an apple off of a merchant's table. :3,0,8
at://did:plc:t7wnxgjye6hhend6qfsxeghr/app.bsky.feed.post/3ml56tox2e62o,2026-05-05T22:02:17.056Z,"May 5, 1926: Virginia Gov. Harry Byrd crowns Priscilla Bridges ""Queen of the Apple Blossom Festival"" to climax the event in Winchester.",0,8
at://did:plc:kapus2rzsvixq7psuw7u7dyl/app.bsky.feed.post/3ml55rtdabk27,2026-05-05T21:43:20.821Z,You’re really not going to like what me and my friends mean when we say someone “looks like they wear an Apple Watch”,0,10
at://did:plc:sbgmax2bfm5dlje36qwvzuuq/app.bsky.feed.post/3ml4stk5c7s2b,2026-05-05T18:27:27.139Z,"Apple development: step one, build yourself a Rube-Goldberg machine.",1,11
at://did:plc:ritv6l6udmzeuwbit4omuq4x/app.bsky.feed.post/3ml4ok4z4qd2c,2026-05-05T17:10:36Z,Maryland Lawmakers Press Apple Over Decision to Close Unionized Store,3,16
at://did:plc:xl6bsqlvwrd3uiilbykt36ky/app.bsky.feed.post/3ml4wprdopk22,2026-05-05T19:36:55.435Z,"Two episodes into Widow’s Bay on Apple and loving it. A cursed island, weird locals, spooky happenings and it’s also very, very funny.",1,18
at://did:plc:omlbpjoku52r5xo6d4yxwiad/app.bsky.feed.post/3ml4rugv2mb2l,2026-05-05T18:10:03.483Z,"An old Good Omens piece from a Mucha-inspired collab with friends. Golden tones felt perfect for Aziraphale, and I filled it with symbols that felt like him - grapes, wheat, daisies, and the apple at the heart of it all. #art #fanart #Good_Omens",27,95
at://did:plc:3s5wtzqrvrsvbxl6afiko2yw/app.bsky.feed.post/3ml4kkwkcs22m,2026-05-05T15:59:28.225Z,I've met some of the worst people on several continents and have had many cats and the biggest asshole I think I've ever met in my life is this mama robin who lives in one of my apple trees,4,252
