date,close,high,low,open,volume,RSI,daily_return,SMA_10,SMA_50,volatilidad_10d,target_direction
2021-01-04,125.7408676147461,129.82178288641367,123.1660010540864,129.73433819675842,143301900,,,,,,1
2021-01-05,127.29552459716795,128.00483789663144,124.78867244606262,125.2356367878319,97664900,100.0,0.012363975308211872,,,,0
2021-01-06,123.0105209350586,127.33435496235823,122.7967573877346,124.0987683518539,155088000,26.622385735338582,-0.03366185634309948,,,,1
2021-01-07,127.20802307128906,127.89789896268525,124.2347856325796,124.72060913109178,109578200,57.308616431702575,0.03412311487117825,,,,1
2021-01-08,128.30596923828125,128.86952618923627,126.53756485844092,128.67518495872093,105158200,61.51808049463484,0.00863110785376242,,,,0
2021-01-11,125.32302856445312,126.47929089114106,124.85664214589356,125.5270809622862,100384500,48.52019555996521,-0.023248650795727244,,,,0
2021-01-12,125.14815521240234,126.0129205782068,123.26315737935116,124.85665810373771,91951100,47.92655287012611,-0.001395380833466242,,,,1
2021-01-13,127.1788558959961,127.722975761063,124.84690938109378,125.1092433563661,88636800,54.40462335889922,0.01622637329449428,,,,0
2021-01-14,125.2550277709961,127.28576659581172,125.10927181431389,127.09144014639318,90221800,48.66874605411146,-0.015126949455916305,,,,0
2021-01-15,123.53521728515624,126.52789226757407,123.39918727805356,125.12871800814143,111598500,44.47683337861157,-0.013730470676068918,125.80011901855468,,,1
2021-01-19,124.20565032958984,125.0607045202907,123.34088500532488,124.15706500945308,90757300,46.28055056073439,0.005427060065681832,125.64659729003907,,0.020457593543346798,1
2021-01-20,128.2865753173828,128.7335395413519,124.90524730001776,125.01212908230433,104319500,55.14937256147453,0.03285619435962772,125.74570236206054,,0.022837290225437953,1
2021-01-21,132.98931884765625,135.70993338633443,129.80231790485385,130.00637029637122,120150900,62.318346754169845,0.036658111097274126,126.74358215332032,,0.0217767184971594,1
2021-01-22,135.126953125,135.88483658611096,131.19177987621222,132.41604973812463,114459400,64.87069627204248,0.016073729047311636,127.53547515869141,,0.020054750455498586,1
2021-01-25,138.8677978515625,140.97627022018892,132.6686847833474,139.01355380816258,157611700,68.59346838790609,0.027683927151839205,128.59165802001954,,0.021180889707211176,1
2021-01-26,139.10101318359375,140.20869037046396,137.3617564370404,139.52854031294,98390600,67.37204838224753,0.0016794054175219841,129.9694564819336,,0.018354238118713073,0
2021-01-27,138.03216552734375,140.208660067174,136.42895396495652,139.3633171255217,140843800,74.41571560407323,-0.007683967440548223,131.25785751342772,,0.018911504141277048,0
2021-01-28,133.20309448242188,137.96417406452278,132.82415271471342,135.5642045936499,142621100,59.54817308042819,-0.03498511398754556,131.86028137207032,,0.023433322680090567,0
2021-01-29,128.21856689453125,132.86303917443942,126.51818434944722,131.97883669271752,177523800,49.87613185383559,-0.037420508939815966,132.15663528442383,,0.026418999430650687,1
2021-02-01,130.33676147460938,131.54160940158948,127.21776727973176,129.95781964029345,106239800,57.28408877286447,0.016520186049345575,132.83678970336913,,0.02606374807605806,1
2021-02-02,131.16268920898438,132.4452560805373,130.79345844882445,131.8816988036164,83305400,58.57584737862041,0.006336874762197464,133.5324935913086,,0.02606435147795132,0
2021-02-03,130.1423797607422,131.92049525214782,129.82173452529324,131.91076929503612,89880900,54.35091711622466,-0.007778961032252951,133.71807403564452,,0.024492850860738002,1
2021-02-04,133.4945831298828,133.5042942626405,130.7739685158837,132.43549143917588,84183100,61.610015289024034,0.025757968889945193,133.7686004638672,,0.022959179100202686,0
2021-02-05,133.08102416992188,133.7232731231055,132.20524094162676,133.65516390896917,75693800,63.9646629921274,-0.0030979456264421668,133.5640075683594,,0.022316665666823575,1
2021-02-08,133.22702026367188,133.27567819524438,131.29054743428753,132.37068818260687,71297200,63.40311718377537,0.0010970466650721544,132.99992980957032,,0.019937002918913312,0
2021-02-09,132.35122680664062,134.17093254443628,132.1955422076444,132.94481795724369,76774200,56.67455275552908,-0.00657369244840833,132.324951171875,,0.01984835605043001,0
2021-02-10,131.7478485107422,133.30481256046917,130.7844753345388,132.80852265986002,73046600,47.64422433796742,-0.004558917287407871,131.69651947021484,,0.019822187257214317,0
2021-02-11,131.4949188232422,132.72101864864962,130.1715031243171,132.24419462572126,64280000,42.57701963107916,-0.0019198012746247661,131.52570190429688,,0.016674305135751556,1
2021-02-12,131.7284393310547,131.88413877300763,130.09363973549668,130.73588879731562,60145100,32.9670345672163,0.0017758899728010924,131.8766891479492,,0.010763865338042126,0
2021-02-16,129.6070556640625,132.35118706954955,129.2178071626484,131.84518629017936,80576300,29.22151305225981,-0.016104219238951223,131.80371856689453,,0.011068264071320184,0
2021-02-17,127.3202667236328,128.66314806479286,125.98712587517292,127.7192408682256,97918500,27.742511085704706,-0.01764401581930064,131.4194763183594,,0.011981045011507778,0
2021-02-18,126.22069549560548,126.50288771185818,123.98256451257896,125.72440543319924,96856700,32.8307999049988,-0.008636262366729874,131.0273078918457,,0.012022792736190705,1
2021-02-19,126.37635803222656,127.1937724488316,125.33514985915804,126.73641474669596,87668800,44.05939083796682,0.0012332568443698122,130.31548538208008,,0.006929426561563554,0
2021-02-22,122.61048126220705,126.23041094448013,122.22124015432108,124.56640502266376,103916400,27.47821097601927,-0.029798902489809098,129.2684310913086,,0.010266322079424324,0
2021-02-23,122.47425842285156,123.30139120748288,115.2052066551197,120.43075171253976,158273000,23.612563164314295,-0.0011110211619197452,128.19315490722656,,0.010068055544431945,0
2021-02-24,121.97797393798828,122.18232386351376,118.94190941685854,121.5790071569596,111039900,24.388862802086322,-0.00405215341782128,127.15582962036133,,0.010148290640104706,0
2021-02-25,117.73526000976562,123.058113364126,117.29736837706596,121.32599812486836,148199500,3.179971893558104,-0.034782623380673505,125.75457077026367,,0.013064274684741967,1
2021-02-26,117.99799346923828,121.49141551253577,117.93960247752108,119.29220956982276,164560400,4.783976806513351,0.0022315613814489765,124.40487823486328,,0.013448839870174497,1
2021-03-01,124.35230255126952,124.4885357959196,119.48680831618184,120.42098231842007,116307900,30.612023799721726,0.05385099267546267,123.66726455688476,,0.02441921250663646,0
2021-03-02,121.75415802001952,125.25731317881322,121.6471165286429,124.95565484356456,102260900,28.4695743669664,-0.020893417153886706,122.88197479248046,,0.024696095923311213,0
2021-03-03,118.77645111083984,122.3282636330786,118.56236816181614,121.45247312532506,112966300,25.96451565202365,-0.02445671636684521,122.02759323120117,,0.025144122053298506,0
2021-03-04,116.8983917236328,120.27504677444026,115.4290174341431,118.47481493176636,178155000,24.489604345363304,-0.01581171494553646,121.09536285400391,,0.025309213316124894,1
2021-03-05,118.1536865234375,118.65970219404976,114.40725661331616,117.72552798386944,153766600,27.093472772018444,0.010738341060948287,120.273095703125,,0.02584066589335845,0
2021-03-08,113.2297821044922,117.74496014762576,113.0838157930319,117.6768435254983,154376600,24.75235786364638,-0.04167372651524137,119.33502578735352,,0.02726838360432459,1
2021-03-09,117.83255767822266,118.77646492277744,115.5944343694315,115.82797605727136,129525800,36.3483293465696,0.04064986691825356,118.87085571289063,,0.03127529773771386,0
2021-03-10,116.7524185180664,118.88350022910564,116.23666982400522,118.4164168777091,111943300,36.36866699999205,-0.00916672931012752,118.34830017089844,,0.031328560005325364,1
2021-03-11,118.6791534423828,119.89552719538874,117.997987110362,119.24355264557504,103026500,39.45614418656562,0.016502741003332932,118.44268951416015,,0.02988133386407686,0
2021-03-12,117.77415466308594,117.910387910508,115.95446453359608,117.16110504968664,88105100,42.811647746279675,-0.007625591799795162,118.42030563354493,,0.03000574175914035,1
2021-03-15,120.65454864501952,120.6642817142442,117.18058534747088,118.14395874848536,92403800,47.49931274165437,0.024456927669516793,118.05053024291992,,0.025226396488928604,1
2021-03-16,122.19204711914062,123.79766203262986,121.36491441345116,122.31854732264156,115227900,50.28599980062881,0.012742979783088249,118.09431915283203,126.28338424682617,0.02477357006593842,0
2021-03-17,121.40383911132812,122.47424657756945,119.04893377660936,120.71293967926184,111932600,55.39959044466714,-0.0064505671718878554,118.35705795288087,126.19664367675782,0.02336125445761999,0
2021-03-18,117.28761291503906,119.86632656590932,117.08326303051578,119.5743939170728,121229700,49.060949198613315,-0.033905239129336406,118.39598007202149,125.99648544311523,0.02553148825109162,0
2021-03-19,116.76213836669922,118.163403199646,116.46048007455592,116.67456302671786,185549500,38.138722595346096,-0.004480222039479065,118.25682525634765,125.87151779174805,0.02531445135664062,1
2021-03-22,120.07068634033205,120.53777713211232,117.02488910943605,117.09300574322106,111912300,47.42635360904877,0.028335794632692535,118.94091567993163,125.72877105712891,0.022282998971198103,0
2021-03-23,119.2435531616211,120.89781850320576,118.85431207414344,120.01230226774646,95467100,50.764352966674295,-0.006888718669988303,119.08201522827149,125.5475227355957,0.018910256690798103,0
2021-03-24,116.85945892333984,119.59387224546332,116.84000020937296,119.51602254128296,88530500,49.93732933819636,-0.019993485392454602,119.09271926879883,125.37825134277344,0.01986523335408056,1
2021-03-25,117.34600830078124,118.38723138862224,115.79878440882976,116.32425877519718,98844700,48.66687553928675,0.004163542959415567,118.95940475463867,125.22220840454102,0.019113887916731773,1
2021-03-26,117.94934844970705,118.21208938078492,115.72095047944184,117.11248257706046,94071200,59.0858338349171,0.005141548124750317,118.97692413330078,125.03761825561523,0.019045789912741237,1
2021-03-29,118.1244888305664,119.28247903408416,117.4822473412622,118.37749665321655,80819200,50.67750802265537,0.001484877900228776,118.72391815185547,124.89500747680664,0.01709553999392539,0
2021-03-30,116.6745834350586,117.16113298447571,115.66255948137214,116.87893335491496,85671900,49.8224098506307,-0.01227438450622631,118.17217178344727,124.75779479980469,0.016521673103809822,1
2021-03-31,118.86404418945312,120.19718506636264,117.89094519064328,118.3774946900482,118323800,50.416853012611924,0.01876553307441786,117.91819229125977,124.65096267700196,0.018042895791782632,1
2021-04-01,119.69117736816406,120.83943448866228,119.1948947978738,120.33342627373456,75089100,54.33733092957403,0.006958649138612438,118.15854873657227,124.47905471801758,0.014229811638199835,1
2021-04-05,122.51317596435548,122.76618380455446,119.75930377924526,120.53778601486208,88651200,54.216350746992006,0.023577331748614094,118.7336524963379,124.26953186035156,0.015493531507736191,1
2021-04-06,122.81482696533205,123.7100762858856,122.26989388745704,123.09702657327624,80171300,51.49671701012312,0.0024621923201495477,119.0080665588379,124.0232893371582,0.013130154072658296,1
2021-04-07,124.45935821533205,124.4788169278638,121.77360301243874,122.44504366920104,83466700,57.05298194017631,0.013390331531096145,119.52964706420899,123.7351205444336,0.013112491586688096,1
2021-04-08,126.85321807861328,126.88240986807646,125.06271903272916,125.48114458057891,88844600,73.9873904740185,0.019234068836668117,120.52902297973633,123.49016464233398,0.010651578701730854,1
2021-04-09,129.42218017578125,129.46109760648577,125.9871415439433,126.30826602843275,106686700,78.79598023784689,0.020251453893553872,121.73664016723633,123.31796493530274,0.011161739842291735,0
2021-04-12,127.70954132080078,129.27623158953074,127.1159502289636,128.95510707935833,91420000,68.7351754397126,-0.013232962484903021,122.7126594543457,123.20809387207031,0.01333315787479049,1
2021-04-13,130.81370544433594,131.03752892907758,128.380957683949,128.87724772998885,91266500,75.52604054278328,0.02430643859050141,123.98158111572266,123.2599966430664,0.014017893535359477,0
2021-04-14,128.47825622558594,131.36836136344672,128.11821435701262,131.3099778007929,87222800,75.68849912201244,-0.01785324565814539,125.1619483947754,123.22282653808594,0.015088227657036801,1
2021-04-15,130.88180541992188,131.36835488244947,130.04493975044198,130.22010527807376,89347100,77.58828523712226,0.01870782858475062,126.36372451782226,123.21720886230469,0.01508442242898014,0
2021-04-16,130.55093383789062,131.04720886250462,129.69460217348174,130.6871670710185,84922400,75.97267303977051,-0.002528018168527546,127.44970016479492,123.22537994384766,0.015572018222958478,1
2021-04-19,131.2126922607422,131.82574950678435,129.75304346412022,129.91846854593953,94264200,76.44515999542469,0.005068967363138777,128.31965179443358,123.17974212646484,0.014700160460976,0
2021-04-20,129.52919006347656,131.8840875267871,128.2641585737153,131.38781245275527,94812300,75.73028086656647,-0.012830330422000769,128.99108810424804,123.10870544433594,0.01596359231147904,1
2021-04-21,129.90872192382812,130.15199668398512,127.76790700410928,128.7993896114448,68847100,73.83441459442336,0.0029300874973863245,129.53602447509766,123.04233947753906,0.015726539284662368,0
2021-04-22,128.3906707763672,130.5412110225183,127.8749295491014,129.46107065350094,84566500,68.2298910996385,-0.011685521379781183,129.68976974487305,122.9631283569336,0.015525406945765327,1
2021-04-23,130.7066650390625,131.4851323617936,128.60476763173878,128.60476763173878,78657500,67.54155256093921,0.01803864913775044,129.81821823120117,122.9423046875,0.015238617169935239,1
2021-04-26,131.095947265625,131.4267974851822,129.96714844185797,131.2029887894015,66905100,67.66288844431554,0.0029782890294551834,130.1568588256836,122.93432525634766,0.014383655886820845,0
2021-04-27,130.77481079101562,131.76737620766062,130.50234418226077,131.37812758921328,66015800,64.27624106246347,-0.0024496293082095777,130.15296936035156,122.91525268554688,0.01225112362917688,0
2021-04-28,129.986572265625,131.3878372667235,129.50002274292763,130.69693041123548,107760100,57.637435531039756,-0.0060274491748282255,130.30380096435547,122.92284301757813,0.010819351192139162,0
2021-04-29,129.88926696777344,133.38270410909877,128.88697605750357,132.7988386951313,151101000,51.29448072762579,-0.0007485796121519117,130.2045471191406,122.97422302246093,0.008905256857785886,0
2021-04-30,127.9236297607422,129.96712921001927,127.54412165956818,128.2350137894491,109839500,50.585117851380396,-0.015133176535047532,129.9418167114258,123.00828170776367,0.010012099126061045,1
2021-05-03,128.97454833984375,130.46340362512916,128.28365629304724,128.48799878924353,75135100,44.337997998844386,0.008215202938402388,129.71800231933594,123.06024551391602,0.010303615520157529,0
2021-05-04,124.41071319580078,127.95280060042847,123.29164779323206,127.66086791309522,137564700,38.988553189397585,-0.035385548565887714,129.20615463256837,123.09625015258788,0.014593513363795472,1
2021-05-05,124.65396118164062,126.94073443361876,124.52745358723476,125.72436094374449,84000900,30.907089602160056,0.001955201281235386,128.6806785583496,123.13984420776367,0.014545796439287115,1
2021-05-06,126.24984741210938,126.25957305500728,123.71005145048784,124.44960863924588,78128300,37.76315366776324,0.012802531225969638,128.46659622192382,123.22528167724609,0.015160991855145873,1
2021-05-07,126.92245483398438,127.94593245749884,126.2108752190309,127.54629547170842,78973300,37.801550072800644,0.005327589978619596,128.08817520141602,123.40902557373047,0.01380612994043512,0
2021-05-10,123.64727783203124,126.26935540308769,123.60828686336556,126.14264776926623,88071200,34.66402869569225,-0.025804551339927206,127.34330825805664,123.52201126098633,0.015368721863653826,0
2021-05-11,122.73101043701172,123.0819142652862,119.6702827504282,120.38185488141868,126142800,31.79501211154148,-0.007410332124450192,126.53892822265625,123.48958541870117,0.01533127347701716,0
2021-05-12,119.6702880859375,121.4930768252382,119.16342036759428,120.28438654552215,112172300,29.487491475539258,-0.024938459645820754,125.5072998046875,123.44790802001953,0.016431602608925896,1
