ID_Tweet,Fecha_UTC,Contenido_Texto,Retweets,Favoritos
at://did:plc:lkffzw3n5t2haffclh4jo4nj/app.bsky.feed.post/3mnsftpkp4c2x,2026-06-08T19:23:51.666Z,Apple!!,16,181
at://did:plc:q6foyrwylbsiknpnnwbmd53e/app.bsky.feed.post/3mnsitbtvn22i,2026-06-08T20:17:18.512Z,That blows my mind.,13,124
at://did:plc:ctrykddwo6ao3edlwaz6brpd/app.bsky.feed.post/3mnsfwoot7s2x,2026-06-08T19:25:31.415Z,Look at his apple!!!,25,144
at://did:plc:q55zkkyk27edrklnjwdobvbc/app.bsky.feed.post/3mnsarei3gs25,2026-06-08T17:53:04.236Z,"The apple Coyote is actually just me, feed me treats dude",20,413
at://did:plc:5rxcpjus3ple6jpbuafvm4og/app.bsky.feed.post/3mnsso4gkok26,2026-06-08T23:13:22.491Z,thrilled to see my iphone 15 doesn’t support the new apple ai features 🎉,3,128
at://did:plc:fbtvg6jxtdroidfvq5z635xu/app.bsky.feed.post/3mnsh5aogqc2q,2026-06-08T19:47:05.358Z,"Apple is dropping support for 4 generations of Apple Watch models with watchOS 27. If you own a three-year-old Apple Watch Series 9 or the original Apple Watch Ultra, no watchOS 27 for you. Lots of iPad models getting dropped too 🤯 www.theverge.com/news/946147/...",28,97
at://did:plc:6uegp7uzu5wm4jpprqozuuhj/app.bsky.feed.post/3mnsm7fzjec2r,2026-06-08T21:17:46.779Z,Go fuck yourself apple,1,31
at://did:plc:jjgqdtdculc7y3tvk5mkjnw6/app.bsky.feed.post/3mnsg3qwiz22l,2026-06-08T19:28:21.547Z,“Indie Greats” thank u Apple 🙂,1,55
at://did:plc:hgord3dqwzta3khfmbqcln22/app.bsky.feed.post/3mnssd7qnx22f,2026-06-08T23:07:16.830Z,Hello from California from your Upgrade and Designed in California production team. @myke.social,2,103
at://did:plc:uayevtgtbwot25zhocjzb6lv/app.bsky.feed.post/3mnscz4w3722t,2026-06-08T18:33:12.229Z,"""Apple, Google, and Meta are very excited to announce the release of new AI-driven products. We guarantee that they will respect your privacy. Unfortunately, these products are not available in Europe, as they have laws to protect your privacy.""",1402,4399
at://did:plc:am6nfjte6ridfp5rov7y7346/app.bsky.feed.post/3mnsszhsv4s2d,2026-06-08T23:19:43.527Z,"Apple is giving Godot some love during WWDC for sure, also announced are these two plugins that they have made available on their GitHub Page. Godot support for RealityKit and Phase Spatial Audio! github.com/apple/plugin...",11,55
at://did:plc:pcl72lxq7w2nrr7jkiks4qkc/app.bsky.feed.post/3mnshpflq5s2f,2026-06-08T19:57:14.486Z,Apple announces new Siri app.,5,36
at://did:plc:k6kg5ccozcphfcmp4zyx3s64/app.bsky.feed.post/3mns7ukf2tc2l,2026-06-08T17:36:57.354Z,"Fascinating to see Apple talk about Apple Intelligence while simultaneously realizing that people don't trust a chatbot that constantly calls the cops on you. I think they realize they have an advantage by virtue of everyone else being radioactive. They just keep saying ""PRIVACY"".",10,168
at://did:plc:tt2fdwo3x2kofssauaqrv5h3/app.bsky.feed.post/3mnstj4zx4s26,2026-06-08T23:28:29.048Z,you wish you were me so fucking bad,2,50
at://did:plc:mvpfjj2diucnlurm5io4nrcs/app.bsky.feed.post/3mns6w7pdak25,2026-06-08T17:19:59.523Z,I'm very excited for when Apple will have to begin digging into some of the more obscure California landmarks to name their OSes. Introducing MacOS Gilroy Garlic Festival,74,617
at://did:plc:x7i2lewpds2ch3gxsibardwp/app.bsky.feed.post/3mnsp2n5kvs2r,2026-06-08T22:08:47.708Z,only in the big apple baby,0,19
at://did:plc:zntngpowgd6rorjt3haywj36/app.bsky.feed.post/3mnsuvvzwq22k,2026-06-08T23:53:31.705Z,It is literally insane to me that Apple doesn’t seem to have considered or built any mitigations for abuse. It’s truly evil.,7,48
at://did:plc:fm355jnpdfurz6pkdmx4sz6g/app.bsky.feed.post/3mnsekkqrzk2j,2026-06-08T19:00:50.903Z,they used to be so itty bitty... less than one apple tall...,2,47
at://did:plc:wmzynryvf7dhxeimg3l6lr2c/app.bsky.feed.post/3mnsqxw5amk2j,2026-06-08T22:43:03.955Z,Need to keep iterating until the next milestone: an Apple Design Award.,2,26
at://did:plc:riagt5j2p5cga27naank7olh/app.bsky.feed.post/3mns7qcwlpc2a,2026-06-08T17:34:35.322Z,HI APPLE COYOTE,4,27
at://did:plc:nxmjxl2wiyat43p3gikkt37w/app.bsky.feed.post/3mnsaqo2esp2z,2026-06-08T17:52:40+00:00,"Apple didn't drop a single iPhone from its iOS 27 compatibility list, giving every device that runs iOS 26 another year of major software support.",47,245
at://did:plc:zntngpowgd6rorjt3haywj36/app.bsky.feed.post/3mns7g3jsuk2h,2026-06-08T17:28:52.019Z,I love when Apple devotes millions of dollars into enabling widespread child abuse,17,84
at://did:plc:jzhiqz7fb5dj6h7cydluryvn/app.bsky.feed.post/3mnsa5wvghk2c,2026-06-08T17:42:12.456Z,watching wwdc,13,120
at://did:plc:z4llsx425l4htoylyyx6iam3/app.bsky.feed.post/3mnrz34zvn22w,2026-06-08T15:35:22.044Z,She works with lots of trans clients and is just so sweet so this is obviously a conversation she’s had before. Just my Adam’s apple is nearly invisible in photos/irl so I don’t spend much time thinking about it so I never thought of “madam’s apple”. Too funny. Love her,3,288
at://did:plc:ja3mx2dwrh6tn3blhuerufrd/app.bsky.feed.post/3mns756wcgs2k,2026-06-08T17:23:53.583Z,some of these new apple parental control features are borderline dystopic,6,52
at://did:plc:x56l2n7i7babgdzqul4bd433/app.bsky.feed.post/3mnshbgwdic2t,2026-06-08T19:49:26.125Z,Apple rebuilt private cloud compute to run on Nvidia chips in Google Cloud. Big deal! www.theverge.com/news/946219/...,11,79
at://did:plc:7757w723nk675bqziinitoif/app.bsky.feed.post/3mnssknmsss2i,2026-06-08T23:11:26.304Z,it would be very funny if Apple wins the AI race by making their OS the best harness,0,30
at://did:plc:56nkwgesskkgf34nuzkjokry/app.bsky.feed.post/3mnrvemz6f22j,2026-06-08T14:29:05.821Z,📻: Smell of whisky & coffee 🍎: Fresh apple and vanila,3,91
at://did:plc:7dyhyi2wwxixbpv4god2ovce/app.bsky.feed.post/3mnsjupst5c2w,2026-06-08T20:36:00.466Z,Apple 🍎 #pinemartens,1,16
at://did:plc:p3q522x6vrwuhxyal2mmp5m2/app.bsky.feed.post/3mnsbwqwz3c27,2026-06-08T18:13:58.826Z,APPLE!!!,2,25
at://did:plc:epndl7msy3egzgddp3yed4ac/app.bsky.feed.post/3mns6rzls5c2g,2026-06-08T17:17:38.897Z,"Dear All Women: Do Not Put Your Perimenopause Or Other Women's Health Data Into Any App, No Matter WTF Apple Promises You.",63,141
at://did:plc:u3tf2dmdiehllhr5fuyp7z5a/app.bsky.feed.post/3mnsnvbbcwc26,2026-06-08T21:47:53.733Z,iOS 27 refreshes Apple Music's artist pages with a new design and full page accent colors.,2,33
at://did:plc:4p6vwihs2lznjpawpsn76isj/app.bsky.feed.post/3mnsjcef6q22g,2026-06-08T20:25:44.505Z,are tim apple and fiona apple related do you think,0,12
at://did:plc:hakzua5btcgcfjye2yujlhos/app.bsky.feed.post/3mnsnpbrzok2o,2026-06-08T21:44:32.954Z,Sooooo….,21,99
