ID_Tweet,Fecha_UTC,Contenido_Texto,Retweets,Favoritos
at://did:plc:ttxxnn4i6efjj5ntpynaby3o/app.bsky.feed.post/3merq2i6as222,2026-02-14T00:07:11.841Z,chasing the dragon (that one pink lady apple i had one time),0,5
at://did:plc:jryrexsfclubwo36ppwtbnfz/app.bsky.feed.post/3merygzwep22p,2026-02-14T02:37:23.042Z,The R&B girls need to collab with the islanders more!!! Because look at the material.,0,8
at://did:plc:izf37plbtvkjuplat2epvt3b/app.bsky.feed.post/3mesd55sgoc23,2026-02-14T05:48:42.724Z,"From the Archives today, the conclusion of our conversation about where it all went wrong and who made it that way: Spotify: open.spotify.com/show/3ooouE7... Apple Podcasts: podcasts.apple.com/us/podcast/s... Amazon Music: music.amazon.co.uk/podcasts/cf7...",0,0
at://did:plc:5gsrkjlavht42wjkabu2qerx/app.bsky.feed.post/3meshy6on2k2v,2026-02-14T07:15:24.582Z,it is 28 min on apple!! it’s because she didn’t include the acoustic version on apple music (it’s already available on the TLOAS acoustic collection but 👀) and the music video without BTS is separate from the audio on here,0,9
at://did:plc:34w6p2nygxpqkiqbkrnq56ip/app.bsky.feed.post/3mesjcx5aji27,2026-02-14T07:38:38.000Z,#NowPlaying 🕡 6:38 pm 🎵 Mascara 🧑‍🎤 Killing Heidi 💿 Reflector 🎧 Apple Music / Spotify / YouTube Music 📝 Lyrics,0,0
at://did:plc:47yht4m3wux2gi37f74gu6yi/app.bsky.feed.post/3merujmmnnk2y,2026-02-14T01:27:14.790Z,"The amazing thing is that it's a 2014 MacBook Air and I confirmed that it was the original battery, which is absolutely ridiculous. I was still getting an hour and a half of life out of it up until earlier today. I don't think Apple builds them like this anymore.",0,2
at://did:plc:extqxtsoc4q4qnbmwizooppn/app.bsky.feed.post/3mertlb6iwr2h,2026-02-14T01:09:01.000Z,#NowPlaying 🕛 12:09 pm 🎵 Peaches 🧑‍🎤 Young Franco & Charlotte Plank 🎧 Apple Music 📝 Lyrics,0,1
at://did:plc:pbk52ewrcs5qc7vfa4eiran2/app.bsky.feed.post/3merppdvvbc2q,2026-02-14T00:00:58.273Z,,0,0
at://did:plc:krtkt267i3ocasfttkpqresq/app.bsky.feed.post/3merqb44vpk2e,2026-02-14T00:10:54.094Z,This has Apple-using-Gemini vibes but way sadder and more prolonged (esp given handheld hardware limitations),0,1
at://did:plc:dw4rthda7hjvv4apjcfdr3sc/app.bsky.feed.post/3mesr3nhi722g,2026-02-14T09:58:23.282Z,Bad Apple #columbina #genshin #fanart,4,15
at://did:plc:extqxtsoc4q4qnbmwizooppn/app.bsky.feed.post/3meu7zhnmc62c,2026-02-14T23:56:04.000Z,#NowPlaying 🕥 10:56 am 🎵 Paint The Town Red 🧑‍🎤 Doja Cat 🎧 Apple Music / Spotify / YouTube Music 📝 Lyrics,0,0
at://did:plc:ihtd5mjqwr545px3u4lbhwpq/app.bsky.feed.post/3metvyuuc522q,2026-02-14T20:58:59.962Z,Nothing says ‘romantic St Valentines’ dessert like a free ‘Spin to win’ apple turnover from Lidl,1,6
