date,close,high,low,open,volume,RSI,daily_return,SMA_10,SMA_50,volatilidad_10d,target_direction,VIX,fecha,volumen_noticias,sentimiento_promedio,puntuacion_positiva,puntuacion_negativa,polaridad_promedio,volatilidad_sentimiento,uso_primera_persona,day_of_week,month,quarter,year,day_of_month,week_of_year,month_sin,month_cos,day_sin,day_cos,sentiment_volume_interaction,vix_rsi_interaction
2021-03-16,122.19204711914062,123.79766203262986,121.36491441345116,122.31854732264156,115227900,50.28599980062881,0.0127429797830882,118.09431915283204,126.28338424682616,0.0247735700659384,0,19.790000915527344,2021-03-16,299.0,-0.367,2.335,2.701,5.036,2.569,21.314,1,3,1,2021,16,11,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,-42288639.3,9.95159982092652
2021-03-17,121.40383911132812,122.47424657756945,119.04893377660936,120.71293967926184,111932600,55.39959044466714,-0.0064505671718878,118.35705795288088,126.19664367675782,0.0233612544576199,0,19.229999542236328,2021-03-17,328.0,-0.701,2.539,3.24,5.778,3.457,21.829,2,3,1,2021,17,11,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,-78464752.6,10.653340988910292
2021-03-18,117.28761291503906,119.86632656590932,117.08326303051578,119.5743939170728,121229700,49.06094919861332,-0.0339052391293364,118.39598007202147,125.99648544311523,0.0255314882510916,0,21.57999992370605,2021-03-18,260.0,-1.311,2.451,3.762,6.214,3.417,21.601,3,3,1,2021,18,11,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,-158932136.7,10.587352799630219
2021-03-19,116.76213836669922,118.163403199646,116.46048007455592,116.67456302671786,185549500,38.138722595346096,-0.004480222039479,118.25682525634764,125.87151779174803,0.0253144513566406,1,20.950000762939453,2021-03-19,400.0,-3.052,2.102,5.154,7.256,3.844,22.027,4,3,1,2021,19,11,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,-566297074.0,7.9900626747003685
2021-03-22,120.07068634033205,120.53777713211232,117.02488910943605,117.09300574322106,111912300,47.42635360904877,0.0283357946326925,118.94091567993163,125.72877105712892,0.0222829989711981,0,18.8799991607666,2021-03-22,322.0,-3.312,2.103,5.415,7.519,4.18,22.061,0,3,1,2021,22,12,1.0,6.123233995736766e-17,0.0,1.0,-370653537.59999996,8.954095163370608
2021-03-23,119.2435531616211,120.89781850320576,118.85431207414344,120.01230226774646,95467100,50.764352966674295,-0.0068887186699883,119.08201522827147,125.5475227355957,0.0189102566907981,0,20.299999237060547,2021-03-23,187.0,-0.302,2.664,2.966,5.63,3.552,22.017,1,3,1,2021,23,12,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,-28831064.2,10.305163264933606
2021-03-24,116.85945892333984,119.59387224546332,116.84000020937296,119.51602254128296,88530500,49.93732933819636,-0.0199934853924546,119.09271926879885,125.37825134277344,0.0198652333540805,1,21.200000762939453,2021-03-24,320.0,-1.665,2.847,4.512,7.359,3.341,21.3,2,3,1,2021,24,12,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,-147403282.5,10.586714200689217
2021-03-25,117.34600830078124,118.38723138862224,115.79878440882976,116.32425877519718,98844700,48.66687553928675,0.0041635429594155,118.95940475463868,125.22220840454102,0.0191138879167317,1,19.809999465942383,2021-03-25,221.0,-0.01,2.663,2.673,5.337,3.122,21.161,3,3,1,2021,25,12,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,-988447.0,9.640907784423549
2021-03-26,117.94934844970705,118.21208938078492,115.72095047944184,117.11248257706046,94071200,59.0858338349171,0.0051415481247503,118.97692413330078,125.03761825561524,0.0190457899127412,1,18.86000061035156,2021-03-26,181.0,0.101,2.824,2.723,5.547,3.257,21.625,4,3,1,2021,26,12,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,9501191.200000001,11.143588621896674
2021-03-29,118.1244888305664,119.28247903408416,117.4822473412622,118.37749665321655,80819200,50.67750802265537,0.0014848779002287,118.72391815185549,124.89500747680664,0.0170955399939253,0,20.739999771118164,2021-03-29,113.0,0.644,2.886,2.242,5.129,2.777,21.558,0,3,1,2021,29,13,1.0,6.123233995736766e-17,0.0,1.0,52047564.800000004,10.510515047907113
