date,close,high,low,open,volume,RSI,daily_return,SMA_10,SMA_50,volatilidad_10d,target_direction,VIX,fecha,volumen_noticias,sentimiento_promedio,puntuacion_positiva,puntuacion_negativa,polaridad_promedio,volatilidad_sentimiento,uso_primera_persona,day_of_week,month,quarter,year,day_of_month,week_of_year,month_sin,month_cos,day_sin,day_cos,sentiment_volume_interaction,vix_rsi_interaction,Returns,Buy_Hold_Equity,predicted_signal,Strategy_Returns,Strategy_Equity,Position,Buy_Signal,Sell_Signal
2025-01-02,242.3019256591797,247.5185960625861,240.2848143161493,247.34966196417784,55740700,46.57676959960493,-0.0262359206779133,251.08380432128905,236.1761700439453,0.0147605069877632,0,17.93000030517578,2025-01-02,187.0,-0.273,2.715,2.988,5.703,3.406,20.729,3,1,1,2025,2,1,0.4999999999999999,0.8660254037844387,0.4338837391175582,-0.900968867902419,-15217211.1,8.351214931350185,0.0,100000.0,0,0.0,100000.0,,False,False
2025-01-03,241.8150329589844,242.62981931594803,240.3543640210219,241.8150329589844,40244100,43.87972718242012,-0.0020094462677946,250.61778259277344,236.3303689575196,0.0133939196575811,1,16.1299991607666,2025-01-03,171.0,-0.833,2.367,3.2,5.567,3.133,21.2,4,1,1,2025,3,1,0.4999999999999999,0.8660254037844387,-0.433883739117558,-0.9009688679024191,-33523335.3,7.077799626271039,-0.0020094462677946456,99799.05537322053,0,-0.0,100000.0,0.0,False,False
2025-01-06,243.4446258544922,245.7598357483754,241.6560500607284,242.7590038700561,45045600,45.99229706857606,0.0067390057415668,250.1418258666992,236.61840087890624,0.0133739715515783,0,16.040000915527344,2025-01-06,161.0,-0.107,2.858,2.965,5.823,3.604,20.461,0,1,1,2025,6,2,0.4999999999999999,0.8660254037844387,0.0,1.0,-4819879.2,7.377164870871655,0.006739005741566828,100471.60178038361,1,0.0,100000.0,1.0,True,False
2025-01-07,240.67233276367188,243.99112508347835,239.81779188041267,241.43743349025635,40856000,38.65913828006289,-0.0113877769167816,248.9216217041016,236.8547589111328,0.0114611413078383,1,17.81999969482422,2025-01-07,327.0,-1.449,2.999,4.447,7.446,3.461,22.566,1,1,1,2025,7,2,0.4999999999999999,0.8660254037844387,0.7818314824680298,0.6234898018587336,-59200344.0,6.88905832352888,-0.011387776916781611,99327.45359283689,1,-0.011387776916781611,98861.22230832184,0.0,False,False
2025-01-08,241.15921020507807,242.16280789951685,238.52603985831155,240.3841632667122,37628900,35.42452632352628,0.0020229888322238,247.67260131835937,237.0841793823242,0.0113854367398775,0,17.700000762939453,2025-01-08,184.0,-0.005,2.9,2.906,5.806,3.607,21.48,2,1,1,2025,8,2,0.4999999999999999,0.8660254037844387,0.9749279121818236,-0.2225209339563143,-188144.5,6.270141429531838,0.0020229888322238487,99528.39192218843,0,0.0020229888322238487,99061.21745699157,-1.0,False,True
2025-01-10,235.3463592529297,238.63534322792128,231.52079498772144,238.4862864086752,61710900,35.02671546195586,-0.0241037899701413,245.55115509033203,237.15783905029292,0.0112300909535328,0,19.540000915527344,2025-01-10,193.0,0.149,3.04,2.891,5.931,3.182,21.304,4,1,1,2025,10,2,0.4999999999999999,0.8660254037844387,-0.433883739117558,-0.9009688679024191,9194924.1,6.844220521945333,-0.024103789970141398,97129.38046723009,0,-0.0,99061.21745699157,0.0,False,False
2025-01-13,232.91192626953125,233.18021644375224,228.2616441132745,232.0474542393881,49630700,29.808447058406216,-0.0103440435243025,243.10478973388672,237.17745025634767,0.0104501690662635,0,19.190000534057617,2025-01-13,397.0,-0.747,2.292,3.039,5.33,2.692,20.367,0,1,1,2025,13,3,0.4999999999999999,0.8660254037844387,0.0,1.0,-37074132.9,5.720241149702435,-0.010344043524302515,96124.66992818852,0,-0.0,99061.21745699157,0.0,False,False
2025-01-14,231.79901123046875,234.62097773623856,230.9941559742804,233.2596800887061,39435300,19.287490321699664,-0.0047782655739775,240.8879547119141,237.24567138671875,0.010491018637952,1,18.709999084472656,2025-01-14,421.0,-1.259,2.35,3.609,5.959,2.582,20.818,1,1,1,2025,14,3,0.4999999999999999,0.8660254037844387,0.7818314824680298,0.6234898018587336,-49649042.7,3.60868926260776,-0.004778265573977536,95665.3607270607,0,-0.0,99061.21745699157,0.0,False,False
2025-01-15,236.35989379882807,237.4429855317883,232.9417299765356,233.1504034772107,39832000,27.308290636905525,0.0196760225341281,239.46405334472647,237.48828674316405,0.0136989376013014,0,16.1200008392334,2025-01-15,412.0,-0.795,2.483,3.279,5.762,2.815,21.231,2,1,1,2025,15,3,0.4999999999999999,0.8660254037844387,0.9749279121818236,-0.2225209339563143,-31666440.0,4.402096679849467,0.019676022534128146,97547.67452046185,0,0.0,99061.21745699157,0.0,False,False
2025-01-16,226.8108825683593,236.4989845496957,226.5823469720856,235.84318609247865,71759100,16.74807568855978,-0.0404003025936209,237.2621200561524,237.59947570800784,0.0175652706994574,1,16.600000381469727,2025-01-16,351.0,-0.167,2.84,3.007,5.847,3.365,21.505,3,1,1,2025,16,3,0.4999999999999999,0.8660254037844387,0.4338837391175582,-0.900968867902419,-11983769.7,2.780180628189762,-0.04040030259362104,93606.71895253113,0,-0.0,99061.21745699157,0.0,False,False
2025-01-17,228.5199584960937,230.81529094249188,227.0294813062853,230.64637201374376,68488300,18.37981238053048,0.007535246582444,235.8839233398437,237.7627124023437,0.017142169095001,0,15.970000267028809,2025-01-17,303.0,-0.475,2.88,3.355,6.235,3.116,21.332,4,1,1,2025,17,3,0.4999999999999999,0.8660254037844387,-0.433883739117558,-0.9009688679024191,-32531942.5,2.935256086250112,0.0075352465824443104,94312.06866161201,0,0.0,99061.21745699157,0.0,False,False
2025-01-21,221.2265625,222.99526090225285,217.9872641686431,222.57792910461188,98070400,16.937607533235536,-0.0319157943318914,233.82507629394527,237.75149536132807,0.0189402368518264,1,15.0600004196167,2025-01-21,330.0,0.144,2.732,2.588,5.32,2.673,22.401,1,1,1,2025,21,4,0.4999999999999999,0.8660254037844387,0.7818314824680298,0.6234898018587336,14122137.6,2.5508037655783014,-0.0319157943318914,91302.02407519279,1,-0.0,99061.21745699157,1.0,True,False
2025-01-22,222.4090118408203,222.6971640978084,218.39465138442915,218.39465138442915,64126500,20.218366586978107,0.0053449700047674,231.72151489257809,237.77841888427736,0.0188187529649179,0,15.100000381469728,2025-01-22,213.0,0.341,2.859,2.518,5.377,2.929,21.692,2,1,1,2025,22,4,0.4999999999999999,0.8660254037844387,0.9749279121818236,-0.2225209339563143,21867136.5,3.052973431760642,0.005344970004767413,91790.03065524924,0,0.005344970004767413,99590.69669293493,-1.0,False,True
2025-01-23,222.2401123046875,225.58871322146769,220.8887455720124,223.3132578125695,60234800,20.925707608161915,-0.0007594095883745,229.87829284667964,237.7074725341797,0.0189581791883252,0,15.020000457763672,2025-01-23,253.0,0.129,2.865,2.736,5.601,3.638,21.236,3,1,1,2025,23,4,0.4999999999999999,0.8660254037844387,0.4338837391175582,-0.900968867902419,7770289.2,3.143041378536207,-0.0007594095883745045,91720.32442585246,1,-0.0,99590.69669293493,1.0,True,False
2025-01-24,221.3656616210937,224.19757422629087,220.00436403066544,223.3529644564833,54697900,23.878008948741567,-0.0039347113107779,227.8989379882812,237.62440277099608,0.0187081198929225,1,14.850000381469728,2025-01-24,239.0,0.256,2.741,2.485,5.226,3.215,21.143,4,1,1,2025,24,4,0.4999999999999999,0.8660254037844387,-0.433883739117558,-0.9009688679024191,14002662.4,3.545884419975499,-0.0039347113107779386,91359.43142790583,1,-0.0039347113107779386,99198.83605220898,0.0,False,False
2025-01-27,228.40074157714844,230.67619691244207,222.55806572164707,222.59782027357136,94863400,35.61383934781085,0.031780357913399,227.20437622070307,237.73628784179687,0.0216073968232184,1,17.899999618530273,2025-01-27,1037.0,0.509,3.219,2.71,5.929,2.415,20.643,0,1,1,2025,27,5,0.4999999999999999,0.8660254037844387,0.0,1.0,48285470.6,6.374877107402127,0.03178035791339906,94262.86685744932,1,0.03178035791339906,102351.41056654078,0.0,False,False
2025-01-28,236.7473907470703,238.66514594376807,229.3446904229109,229.38444497187515,75707600,43.72204018603734,0.0365438794650434,227.587922668457,238.0151058959961,0.0246558156740731,1,16.40999984741211,2025-01-28,842.0,-0.022,3.315,3.337,6.653,2.537,20.771,1,1,1,2025,28,5,0.4999999999999999,0.8660254037844387,0.7818314824680298,0.6234898018587336,-1665567.2,7.174786727814189,0.03654387946504345,97707.59770191739,1,0.03654387946504345,106091.72817736161,0.0,False,False
2025-01-29,237.8404083251953,238.33723404319065,232.5243670778784,232.633669342314,45486100,47.25907367964628,0.004616809396192,228.19206237792963,238.29809753417967,0.0245514549046546,0,16.559999465942383,2025-01-29,589.0,-0.504,3.174,3.678,6.852,2.472,21.578,2,1,1,2025,29,5,0.4999999999999999,0.8660254037844387,0.9749279121818236,-0.2225209339563143,-22924994.4,7.826102348958741,0.004616809396192023,98158.69505706696,0,0.004616809396192023,106581.53346486909,-1.0,False,True
2025-01-30,236.0816802978516,239.26136238940995,235.70410299948912,237.15482584661257,55658300,45.20370914351101,-0.007394572014605,228.164241027832,238.4843078613281,0.023975566124562,0,15.84000015258789,2025-01-30,358.0,0.646,3.442,2.796,6.238,2.63,21.312,3,1,1,2025,30,5,0.4999999999999999,0.8660254037844387,0.4338837391175582,-0.900968867902419,35955261.800000004,7.160267597307531,-0.0073945720146050276,97432.85351760781,1,-0.0,106581.53346486909,1.0,True,False
2025-01-31,234.5017547607422,245.62071750772,231.95800933839703,245.62071750772,100959800,49.1328302520545,-0.0066922835144009,228.9333282470703,238.7029110717773,0.0196154128446395,0,16.43000030517578,2025-01-31,417.0,0.82,3.106,2.286,5.392,2.488,20.819,4,1,1,2025,31,5,0.4999999999999999,0.8660254037844387,-0.433883739117558,-0.9009688679024191,82787036.0,8.072524160354051,-0.006692283514400987,96780.80523825089,1,-0.006692283514400987,105868.25962552258,0.0,False,False
2025-02-03,226.56246948242188,230.35822543026035,224.2671369795404,228.52991033796465,73063300,44.14297449144188,-0.0338559738558059,228.73757934570312,238.7027117919922,0.0227834555581539,1,18.6200008392334,2025-02-03,197.0,0.188,3.088,2.9,5.987,3.218,21.463,0,2,1,2025,3,6,0.8660254037844386,0.5000000000000001,0.0,1.0,13735900.4,8.219422220769063,-0.033855973855805965,93504.19682636081,0,-0.033855973855805965,102283.98659548121,-1.0,False,True
2025-02-04,231.32208251953125,231.64998934854387,225.21111642561868,225.8073134168997,45067300,49.58779180057015,0.0210079500280104,229.74713134765625,238.79253845214845,0.0207651634816259,0,17.209999084472656,2025-02-04,232.0,0.083,3.044,2.961,6.004,3.507,21.61,1,2,1,2025,4,6,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,3740585.9,8.534058514888331,0.02100795002801048,95468.52832069827,0,0.0,102283.98659548121,0.0,False,False
2025-02-05,230.99417114257807,231.19289841511937,226.820837771536,227.0791817096477,39620300,44.99629468996631,-0.0014175532806103,230.605647277832,238.8614978027344,0.0208505250206587,1,15.770000457763672,2025-02-05,258.0,-0.031,2.976,3.008,5.984,3.483,21.465,2,2,1,2025,5,6,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.2225209339563143,-1228229.3,7.095915878584378,-0.0014175532806103286,95333.19659518222,0,-0.0,102283.98659548121,0.0,False,False
2025-02-06,231.73941040039065,232.31573010563136,228.96711414866223,229.8216550685821,29925300,55.4989049722975,0.0032262253810404,231.5555770874024,238.9549008178711,0.0207876615753515,0,15.5,2025-02-06,272.0,-0.011,2.932,2.943,5.875,3.144,21.364,3,2,1,2025,6,6,0.8660254037844386,0.5000000000000001,0.4338837391175582,-0.900968867902419,-329178.3,8.602330270706114,0.0032262253810404484,95640.76297369332,0,0.0,102283.98659548121,0.0,False,False
2025-02-07,226.1849060058593,232.5144614947352,225.81724462416,231.12335539671392,39707200,47.600602836190006,-0.0239687517325364,232.0375015258789,238.9103860473633,0.0225680303510691,1,16.540000915527344,2025-02-07,299.0,1.251,3.556,2.305,5.862,3.353,22.45,4,2,1,2025,7,6,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,49673707.2,7.873140144902362,-0.023968751732536542,93348.37327046649,0,-0.0,102283.98659548121,0.0,False,False
2025-02-10,226.4534606933593,229.378010419489,226.0058289386349,228.3633824897372,33115600,56.27715273995736,0.001187323647021,231.8427734375,238.81162292480468,0.0200764483226469,1,15.8100004196167,2025-02-10,164.0,-0.115,2.966,3.082,6.048,3.351,21.307,0,2,1,2025,10,7,0.8660254037844386,0.5000000000000001,0.0,1.0,-3808294.0,8.89741808433559,0.0011873236470210102,93459.20800146146,0,0.0,102283.98659548121,0.0,False,False
2025-02-11,231.39735412597656,233.99363668198936,226.93096309298545,227.00058728303875,53718400,59.899981714629824,0.0218318298933473,231.30776977539065,238.76821563720705,0.0174076960723552,1,16.020000457763672,2025-02-11,222.0,-0.354,2.697,3.052,5.749,3.17,21.238,1,2,1,2025,11,7,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,-19016313.6,9.595977344884052,0.021831829893347532,95499.59353251634,0,0.0,102283.98659548121,0.0,False,False
2025-02-12,235.625,235.7145384932868,229.4675323792709,229.9848034951756,45243300,63.53252803875276,0.0182700700705584,231.0862289428711,238.8119448852539,0.0184983103582407,1,15.890000343322754,2025-02-12,221.0,0.044,3.0,2.957,5.957,3.815,22.383,2,2,1,2025,12,7,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.2225209339563143,1990705.2,10.095318923479438,0.018270070070558475,97244.37779806527,0,0.0,102283.98659548121,0.0,False,False
2025-02-13,240.2605438232422,241.0662841242681,234.3318774239705,235.66483088933668,53614100,67.75314498455495,0.0196733955363064,231.5041152954101,238.90068939208984,0.0193822363211715,1,15.100000381469728,2025-02-13,211.0,-0.253,2.746,2.999,5.745,3.41,21.358,3,2,1,2025,13,7,0.8660254037844386,0.5000000000000001,0.4338837391175582,-0.900968867902419,-13564367.3,10.230725151125537,0.019673395536306426,99157.50490616863,0,0.0,102283.98659548121,0.0,False,False
2025-02-14,243.3143920898437,244.25939586817944,239.7233655892969,239.981993568851,40896200,65.14557170143509,0.0127105691929516,232.38537902832027,239.00559783935543,0.0193947763695044,0,14.770000457763672,2025-02-14,420.0,-0.318,2.848,3.166,6.015,2.817,21.792,4,2,1,2025,14,7,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,-13004991.6,9.622001238514724,0.01271056919295166,100417.85323327892,1,0.0,102283.98659548121,1.0,True,False
2025-02-18,243.18507385253903,243.8913336127375,240.56889220053384,242.8667484777081,48822500,57.8475736693535,-0.0005314861821117,234.047639465332,239.04710876464844,0.0144172762448161,1,15.350000381469728,2025-02-18,177.0,-0.563,2.752,3.316,6.068,3.265,21.369,1,2,1,2025,18,8,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,-27487067.5,8.879602778916745,-0.00053148618211174,100364.48253184812,0,-0.00053148618211174,102229.62406995441,-1.0,False,True
2025-02-19,243.5829620361328,244.716969605811,241.88195827091008,243.37407429304395,32204200,57.12088690560881,0.0016361538037283,235.27372741699213,239.08942291259768,0.0136359432743286,1,15.270000457763672,2025-02-19,237.0,-0.481,2.66,3.141,5.801,3.327,21.148,2,2,1,2025,19,8,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.2225209339563143,-15490220.2,8.722359691965135,0.0016361538037283907,100528.69426170184,0,0.0,102229.62406995441,0.0,False,False
2025-02-20,244.5379333496093,245.48293716802547,243.006019001845,243.652611746038,32316900,60.69920354798949,0.0039205176975178,236.6281036376953,239.15024047851563,0.0134486123092928,0,15.65999984741211,2025-02-20,248.0,0.995,3.13,2.135,5.265,3.066,20.824,3,2,1,2025,20,8,0.8660254037844386,0.5000000000000001,0.4338837391175582,-0.900968867902419,32155315.5,9.50549518299552,0.003920517697517889,100922.8187866632,0,0.0,102229.62406995441,0.0,False,False
