fecha,volumen_noticias,sentimiento_promedio,puntuacion_positiva,puntuacion_negativa,polaridad_promedio,volatilidad_sentimiento,uso_primera_persona
2021-04-03,127,-2.873,2.321,5.194,7.514,4.111,24.161
2021-04-04,54,-0.133,2.435,2.568,5.003,3.466,22.465
2021-04-05,205,-0.279,2.446,2.725,5.171,2.155,21.956
2021-04-06,155,0.392,2.963,2.571,5.534,2.351,20.943
2021-04-07,259,-0.211,3.076,3.287,6.363,3.46,22.946
2021-04-08,205,-0.711,2.385,3.096,5.482,3.476,21.004
2021-04-09,214,-0.344,1.965,2.31,4.275,2.06,19.996
2021-04-10,71,-0.673,2.034,2.707,4.741,2.879,22.246
2021-04-11,57,-0.551,2.33,2.881,5.211,3.401,21.619
2021-04-12,259,0.436,2.729,2.293,5.022,2.493,21.278
2021-04-13,238,0.403,2.713,2.31,5.023,2.762,20.934
2021-04-14,251,0.461,2.678,2.218,4.896,2.583,21.644
2021-04-15,309,0.355,2.907,2.552,5.459,2.919,20.939
2021-04-16,242,-2.071,2.683,4.755,7.438,4.328,21.087
2021-04-17,102,-2.172,2.41,4.582,6.992,4.086,21.543
2021-04-18,58,0.378,3.459,3.081,6.541,4.006,20.691
2021-04-19,163,0.101,2.838,2.737,5.575,2.648,21.618
2021-04-20,366,-0.041,2.643,2.684,5.327,2.825,22.167
2021-04-21,323,0.002,2.65,2.648,5.298,2.607,22.078
2021-04-22,250,-0.04,2.663,2.703,5.366,2.762,22.173
2021-04-23,202,0.558,2.947,2.388,5.335,3.021,21.704
2021-04-24,116,-0.724,2.395,3.119,5.513,2.962,21.568
2021-04-25,89,-1.261,1.835,3.096,4.932,2.153,23.33
2021-04-26,225,0.54,2.563,2.023,4.586,2.362,21.052
2021-04-27,279,-0.023,2.704,2.727,5.43,2.608,21.623
2021-04-28,311,0.204,2.53,2.326,4.856,2.832,21.591
2021-04-29,337,0.1,2.765,2.665,5.43,2.931,20.87
2021-04-30,335,-1.305,2.403,3.708,6.111,3.073,21.299
2021-05-01,89,-1.163,2.301,3.464,5.765,3.062,20.644
2021-05-02,109,-1.597,2.621,4.218,6.838,2.308,22.293
2021-05-03,373,-1.082,2.442,3.524,5.966,2.661,20.982
2021-05-04,405,-0.243,2.879,3.122,6.0,2.864,21.503
2021-05-05,179,0.127,2.971,2.845,5.816,3.305,21.349
2021-05-06,209,0.616,2.896,2.28,5.176,2.898,20.913
2021-05-07,254,-0.999,2.494,3.492,5.986,3.378,21.767
2021-05-08,66,0.377,2.689,2.312,5.001,2.999,21.443
2021-05-09,41,0.146,2.706,2.56,5.267,3.005,22.131
2021-05-10,193,0.63,3.112,2.482,5.594,3.106,21.27
2021-05-11,279,-0.849,2.675,3.525,6.2,2.968,22.452
2021-05-12,186,0.306,3.117,2.811,5.928,3.522,21.826
2021-05-13,191,0.159,2.54,2.381,4.921,2.857,21.551
2021-05-14,199,-2.106,2.062,4.168,6.23,3.52,21.443
2021-05-15,191,-3.583,1.514,5.097,6.611,3.531,22.41
2021-05-16,48,0.446,2.76,2.313,5.073,3.026,22.294
2021-05-17,486,-3.072,1.814,4.886,6.7,3.833,21.252
2021-05-18,414,-1.727,2.153,3.88,6.032,3.375,20.968
2021-05-19,268,-0.25,3.012,3.261,6.273,3.1,21.567
2021-05-20,239,-0.033,2.577,2.61,5.187,2.824,22.188
2021-05-21,295,-0.733,2.304,3.037,5.341,2.231,22.336
2021-05-22,83,-1.043,2.207,3.25,5.458,2.692,22.581
2021-05-23,64,-1.095,2.921,4.016,6.937,4.34,22.539
2021-05-24,167,-0.366,2.573,2.939,5.512,2.589,21.867
2021-05-25,171,1.114,3.396,2.282,5.679,2.829,22.01
2021-05-26,218,0.162,2.826,2.664,5.489,2.672,21.139
2021-05-27,239,-0.795,2.597,3.392,5.989,2.894,20.406
2021-05-28,303,-2.919,1.999,4.918,6.917,4.238,19.891
2021-05-29,88,-2.799,1.989,4.787,6.776,5.201,21.627
2021-05-30,60,-1.251,2.3,3.551,5.851,4.149,22.156
2021-05-31,105,-0.117,2.54,2.658,5.198,2.896,22.256
2021-06-01,152,1.067,3.253,2.186,5.439,3.932,21.035
2021-06-02,182,-0.007,2.773,2.78,5.554,3.538,20.841
2021-06-03,204,0.65,2.85,2.2,5.05,3.147,22.086
2021-06-04,345,-1.493,2.225,3.718,5.942,2.973,20.71
2021-06-05,75,-0.189,2.862,3.051,5.912,2.647,22.693
2021-06-06,108,-0.275,2.796,3.072,5.868,2.455,22.431
2021-06-07,338,0.421,2.671,2.25,4.921,2.234,21.394
2021-06-08,386,0.341,2.571,2.23,4.8,2.245,22.22
2021-06-09,212,0.83,2.981,2.152,5.133,2.932,21.506
2021-06-10,180,0.69,3.1,2.409,5.509,3.777,22.085
2021-06-11,204,0.029,2.98,2.951,5.931,3.353,20.494
2021-06-12,106,-0.186,2.723,2.908,5.631,3.266,20.437
2021-06-13,72,-0.494,2.536,3.03,5.566,2.716,22.134
2021-06-14,201,-0.138,2.465,2.603,5.068,2.673,21.639
2021-06-15,433,0.072,2.956,2.884,5.84,3.611,21.974
2021-06-16,163,0.363,3.091,2.728,5.819,3.373,21.806
2021-06-17,958,-4.147,1.747,5.894,7.642,3.136,18.676
2021-06-18,342,-3.047,2.221,5.269,7.49,3.398,20.572
2021-06-19,480,-4.468,1.827,6.294,8.121,2.431,18.98
2021-06-20,124,-2.811,1.978,4.789,6.767,3.746,21.013
2021-06-21,450,-3.256,1.952,5.208,7.16,3.474,21.21
2021-06-22,394,-2.414,2.421,4.835,7.255,4.529,22.047
2021-06-23,1047,-3.17,2.231,5.401,7.631,3.095,20.67
2021-06-24,896,-1.262,2.856,4.117,6.973,2.331,20.638
2021-06-25,547,-2.35,2.64,4.99,7.63,2.354,19.176
2021-06-26,151,-2.911,2.256,5.167,7.423,2.878,19.987
2021-06-27,263,-2.038,2.235,4.274,6.509,2.235,21.009
2021-06-28,382,-1.725,2.274,3.999,6.273,3.231,19.991
2021-06-29,404,-0.228,2.75,2.978,5.728,2.708,21.061
2021-06-30,525,-2.05,2.233,4.283,6.516,3.113,19.633
2021-07-01,333,-1.2,2.999,4.198,7.197,3.12,20.811
2021-07-02,241,-0.54,2.731,3.271,6.002,3.415,21.399
2021-07-03,82,-0.252,2.55,2.802,5.352,3.203,22.815
2021-07-04,63,-0.613,2.442,3.055,5.497,3.179,21.542
2021-07-05,129,-1.851,2.797,4.648,7.445,3.587,21.441
2021-07-06,292,-2.211,2.614,4.825,7.439,3.725,21.505
2021-07-07,203,-0.362,2.744,3.106,5.849,3.089,21.123
2021-07-08,188,-0.585,2.6,3.185,5.785,3.274,21.25
2021-07-09,233,-0.017,2.972,2.988,5.96,3.099,21.115
2021-07-10,109,-1.744,2.5,4.245,6.745,3.103,21.011
2021-07-11,107,-1.535,2.504,4.039,6.543,2.687,21.494
2021-07-12,292,-2.791,2.152,4.942,7.094,3.448,21.226
2021-07-13,169,0.052,2.749,2.697,5.446,3.169,21.793
2021-07-14,231,0.622,2.797,2.175,4.972,2.233,22.198
2021-07-15,316,-2.757,2.504,5.261,7.765,4.491,20.44
2021-07-16,251,-0.882,2.179,3.061,5.24,2.899,20.383
2021-07-17,68,-1.013,2.1,3.113,5.212,2.937,20.93
2021-07-18,36,0.049,2.752,2.703,5.456,3.359,22.823
2021-07-19,305,-2.626,1.792,4.418,6.21,3.569,20.383
2021-07-20,245,0.046,2.623,2.576,5.199,2.522,20.77
2021-07-21,455,-4.488,1.702,6.19,7.891,4.473,20.28
2021-07-22,401,-4.915,1.831,6.746,8.577,5.119,20.287
2021-07-23,162,-0.065,2.785,2.85,5.635,3.419,21.737
2021-07-24,55,-0.039,3.009,3.048,6.056,3.37,22.497
