Date,Close,High,Low,Open,Volume
2022-01-03,322.4624328613281,325.59313609299153,317.6748639742431,323.04041472203403,28865100
2022-01-04,316.9330749511719,322.89586164300437,314.1491437576021,322.5394184991603,32674300
2022-01-05,304.7666931152344,314.1010061399775,304.3813817326678,313.8986934112964,40054300
2022-01-06,302.3583984375,307.00147755160896,300.0561141565579,301.6551839949287,39646100
2022-01-07,302.5125427246094,304.88223527940386,298.70752360593445,302.6184908441429,32720000
2022-01-10,302.73406982421875,303.16756341784094,293.5057361453158,298.1295306229004,44289500
2022-01-11,303.4180908203125,304.9882339809429,298.5149321522782,301.8768158812795,29386800
2022-01-12,306.5872802734375,311.53862085227667,305.4409591479046,307.9359141133859,34372200
2022-01-13,293.6116943359375,309.10146222236773,292.8410716956861,308.7065085650938,45366000
2022-01-14,298.8134765625,299.4107134713591,292.60022544835357,293.08187190999695,39846400
2022-01-18,291.5406494140625,298.42818916600646,290.66404916965183,292.90853854423693,42333200
2022-01-19,292.1956481933594,302.38730443677275,291.5887983066239,295.0470165949494,45933900
2022-01-20,290.5292053222656,300.21028923440434,290.0860987267936,297.72500596711825,35380700
2022-01-21,285.16363525390625,292.9470300221771,284.7590392453866,291.57917037846426,57984400
2022-01-24,285.49114990234375,286.20397733564954,265.9170285250383,281.4742344395524,85731500
2022-01-25,277.900390625,284.16179518047517,274.70228017866594,280.8191672649652,72848600
2022-01-26,285.8185729980469,297.17580232968714,282.2736628651695,296.68451363829143,90428900
2022-01-27,288.8337707519531,296.01992832954136,286.9938775868818,291.5502640782282,53481300
2022-01-28,296.94476318359375,297.1566888577396,283.64168680427184,289.2095201733317,49743700
2022-01-31,299.5648498535156,300.9134540935953,295.12405410178434,297.6093663560582,46444500
2022-02-01,297.4264221191406,299.2277757254821,293.92966304924204,299.01585004253747,40950400
2022-02-02,301.9538269042969,303.55289687211734,297.5419577332225,298.26442751039235,36636000
2022-02-03,290.1920166015625,299.80569133626227,288.9493603987936,298.12954152402045,43730000
2022-02-04,294.70989990234375,297.46490411870997,288.95903879189694,289.19021973386526,35096500
2022-02-07,289.9031066894531,296.54018169712276,288.8916311687313,294.9314984801919,28533300
2022-02-08,293.3805847167969,294.3438779498826,288.93981702301244,290.19208646707324,32421200
2022-02-09,299.78643798828125,300.4800101974915,296.10668068130565,298.4956287595179,31284700
2022-02-10,291.2806091308594,297.77319603906335,289.6622835734979,292.879679406839,45386200
2022-02-11,284.21002197265625,293.12048369685596,283.4201145266006,292.06085534207085,39175600
2022-02-14,284.17144775390625,285.866852917156,280.65543402557785,282.9865867276755,36359500
2022-02-15,289.4407043457031,289.75857816176847,286.11733109996294,288.99759771206277,27058300
2022-02-16,289.102783203125,290.42521859996504,283.48481887693396,288.0120067201393,29982100
2022-02-17,280.6372985839844,286.49655572673316,279.93262997944396,286.0718280004565,32461600
2022-02-18,277.93450927734375,283.65864238707985,276.3707522552186,282.87676387601726,34264000
2022-02-22,277.7318115234375,281.41920742809083,274.6235925315727,275.10623504920284,41736100
2022-02-23,270.5403747558594,281.5736029979626,270.37629282765295,280.10635117029534,37811200
2022-02-24,284.3633117675781,284.9135313013762,262.0941791874867,263.0498313930732,56989700
2022-02-25,286.9888610839844,287.2977593325136,281.52534482802724,284.8942092758671,32546700
2022-02-28,288.4174499511719,288.7553055184813,282.82844278237695,284.09296349755033,34627500
2022-03-01,284.71075439453125,289.55647332988616,282.0079393664894,286.1103996346633,31217800
2022-03-02,289.7688903808594,291.0044539337732,283.50420050610404,285.10654759375143,31873000
2022-03-03,285.64715576171875,292.6068524998791,283.8420480314748,292.37519352194875,27314500
2022-03-04,279.79742431640625,285.3960935577323,277.20083543278474,284.0736581596549,32356500
2022-03-07,269.2276306152344,279.6334012626767,268.8608176186458,278.5136671787281,43157200
2022-03-08,266.2738342285156,274.1022802945537,260.6269119121218,268.1561220285429,48159500
2022-03-09,278.48468017578125,279.5464994060376,271.03267993001293,273.60034117475794,35204500
2022-03-10,275.6756591796875,276.65060617183343,270.8395733141263,273.19487038356175,30628000
2022-03-11,270.3473205566406,279.4596114101484,269.7295241457534,277.9634022977425,27209300
2022-03-14,266.8433532714844,275.4922975054639,266.2448813621328,270.6079583933382,30660700
2022-03-15,277.18157958984375,277.8283334961411,269.0538964529326,270.6176534268287,34245100
2022-03-16,284.17022705078125,284.343971257443,273.36868699762886,279.07349465678493,37826300
2022-03-17,284.9714660644531,285.34791193212243,279.32454238410753,283.10847290668306,30816600
2022-03-18,290.00048828125,290.55070765473886,282.56781343474125,285.11614983812484,43390600
2022-03-21,288.7746887207031,289.72067870618065,284.66256484399344,288.5140723534525,28351200
2022-03-22,293.5045471191406,294.4119173522232,288.39818135350095,289.39242369934766,27599700
2022-03-23,289.09320068359375,292.70338668332965,287.3846568062616,290.07781025541306,25715400
2022-03-24,293.5430908203125,293.63962518446135,287.9637462870707,288.7552868316787,24484500
2022-03-25,293.13775634765625,294.8945822052207,288.9001703045881,294.63396584716253,22566500
2022-03-28,299.9140930175781,300.0105979612611,293.76520217210094,293.76520217210094,29578200
2022-03-29,304.4604797363281,304.8562500359702,298.32125314184253,303.01255254853436,30393400
2022-03-30,302.96435546875,304.9818271718414,300.763506705358,302.86785052906407,28163600
2022-03-31,297.6070251464844,304.1999383958244,297.2016219305857,303.00296492746145,33422100
2022-04-01,298.6784362792969,299.3637802401649,294.933126535701,298.6301543643232,27110500
2022-04-04,304.0358581542969,304.1709827540647,298.95844895090045,299.3252620130999,24289600
2022-04-05,300.0877685546875,303.93924580373067,299.11282139815006,302.3947841023135,23156700
2022-04-06,289.102783203125,296.3424188426022,286.40963049695665,294.5952557982606,40110400
2022-04-07,290.9079284667969,293.10877703347046,286.06220849283096,286.3614444787001,31411200
2022-04-08,286.6606140136719,290.6665398433151,285.99456517806084,290.01015328183416,24361900
2022-04-11,275.357177734375,282.4519981244576,275.1061942358303,281.66048690117145,34569300
2022-04-12,272.268310546875,280.64697807098315,270.75280588328843,279.1990504337595,30966700
2022-04-13,277.6352844238281,278.56194983374326,271.5346757707154,272.91505579561334,21907200
2022-04-14,270.1156921386719,278.30131965119733,269.62341681375074,278.08895577007974,28221600
2022-04-18,270.7817687988281,272.654424271278,268.6774543262942,269.2276739096577,20778000
2022-04-19,275.395751953125,276.23557450537356,268.74495475070785,269.68128222004106,22297700
2022-04-20,276.41900634765625,279.64308426283594,275.46338359699905,279.35348107967593,22906700
2022-04-21,271.0616760253906,283.11807613900845,270.33771228198214,278.56192980216474,29454600
2022-04-22,264.5170593261719,273.3687361378023,263.8896299394481,271.90148401826906,29405800
2022-04-25,270.9747619628906,271.35120773294403,261.37016600391445,263.80270265842034,35678900
2022-04-26,260.83929443359375,268.6966984296061,260.6269305710984,267.86656753140664,46518400
2022-04-27,273.38800048828125,280.86895873505813,269.4689460085579,272.30688607431046,63477700
2022-04-28,279.575439453125,280.8785798159734,271.6890497286869,275.28957261335694,33646600
2022-04-29,267.8858642578125,279.81680135936267,266.9012842301464,278.59087064005706,37073900
2022-05-02,274.5946044921875,275.0482895864189,266.63100384066234,268.06926895596354,35151100
2022-05-03,271.998046875,274.26647285650915,270.42462737594974,274.1023614203299,25978600
2022-05-04,279.913330078125,280.7820806094394,267.1233049625317,272.77986042090856,33599300
2022-05-05,267.7217712402344,276.40933528615983,264.816254282709,275.6274568786791,43260400
2022-05-06,265.1927795410156,269.5558574797056,261.85287196809537,265.26998938550594,37780300
2022-05-09,255.39508056640625,262.904996341923,254.1788415540158,260.68485272752093,47726000
2022-05-10,260.1443176269531,264.24677903665463,255.86811198044657,262.2582942158993,39336400
2022-05-11,251.50494384765625,261.9396702201162,250.29833784290227,256.4568596044713,48975900
2022-05-12,246.48553466796875,250.85827461107095,241.3405637664361,248.74429806988636,51033800
2022-05-13,252.05519104003906,253.90855102922657,246.4855077130794,248.4160775334941,34925100
2022-05-16,252.42198181152344,256.59201932670356,246.90055143257808,250.9354349323041,32550900
2022-05-17,257.55731201171875,259.0148721108303,253.34865472681068,256.87193855498094,28828800
2022-05-18,245.830810546875,255.04172974493503,244.56334455457838,254.46120398258716,31356000
2022-05-19,244.9213409423828,249.30427969315693,243.70225448849024,245.65666082139012,32692300
2022-05-20,244.36019897460938,250.14605852725083,238.43890011882908,248.88824756705642,39199300
2022-05-23,252.18748474121094,253.00989374286016,245.20189490689577,247.19502540033727,33175400
